model,rmse_calibration,rmse_verification,rsq_calibration,rsq_verification
Artificial Neural Network,1.0088986733149043,1.1077515594706637,0.7857388957625532,0.7588377122999836
Bagged Classification and Regression Trees,0.45868260510721276,1.0228239283236764,0.9589091643824871,0.7940597224896283
Bayesian Additive Regression Trees,0.9820258579651352,1.0624836472979429,0.7977248583558368,0.7778969209254047
Cubist Regression,0.9615759948962834,1.0532534512377572,0.8053871523003108,0.7818245554080497
Elastic Net Regression,1.043856429458216,1.0713988988665355,0.7724954485473747,0.7743114267954467
Extreme Gradient Boosting,0.956876903466447,1.033363950006239,0.8090092082901075,0.7904016753758026
Generalized Linear Model,1.0950648200741675,1.0320646469418508,0.7472927407611728,0.7908681821972875
Multivariate Adaptive Regression Splines,1.087931610892718,1.0434926512935918,0.7505742682677924,0.7858059962837625
Random Forest,0.9009871080984725,1.0067732496565582,0.8331190641486557,0.8033169207126961
Support Vector Machine (Linear),1.1175553622090377,1.0419557021380386,0.7376882717935185,0.7898300545700295
Support Vector Machine (Polynomial),1.1175809479594925,1.042033474229551,0.7376734165434216,0.7897908181102713
Support Vector Machine (Radial),0.9946465018866308,1.0841565398611208,0.7915910636290068,0.7687406110094016
ensemble,0.9609972803078918,1.03940039832558,0.8079492956567277,0.7883930726421445
