model,calibration,verification
CART_bagged,0.43,0.93
Cubist,0.87,0.89
MARS,0.99,0.87
RF,0.72,0.86
SVM_poly,1.01,0.86
SVM_radial,0.92,0.93
bart,0.91,0.87
boosting,0.85,0.87
full_quad_linear_reg,1,0.99
glm,1,0.86
neural_network,0.91,0.89
svm_linear,1,0.86
ensemble,0.95,0.96
