model,calibration,verification
CART_bagged,0.42,0.95
Cubist,0.98,0.88
MARS,0.97,0.94
RF,0.6,0.89
SVM_poly,0.99,0.9
SVM_radial,0.97,0.93
bart,0.89,0.91
boosting,0.8,0.91
full_quad_linear_reg,0.97,0.92
glm,0.98,0.9
neural_network,0.97,0.9
svm_linear,0.99,0.9
ensemble,0.78,0.9
