model,calibration,verification
CART_bagged,0.43,0.9
Cubist,0.8,0.94
MARS,0.94,0.92
RF,0.83,0.9
SVM_poly,0.99,0.89
SVM_radial,0.97,0.92
bart,0.85,0.9
boosting,0.95,0.89
full_quad_linear_reg,0.98,0.93
glm,0.97,0.88
neural_network,0.97,0.89
svm_linear,0.99,0.89
ensemble,0.81,0.88
