Variable,Season,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
TMAX,year,10.575,12.129,12.777,13.206,11.779,11.284,12.452,11.511,12.371,13.052,13.256,12.120,13.415,12.858,13.912,12.670,11.615,12.405,12.925,13.099,14.285,12.875,13.755,13.665,12.505,12.683,13.440,14.299,14.113,13.750,12.553,13.915,14.107,13.501,14.874,14.738,13.839,13.869,15.007,15.127,14.411,13.412,14.714,14.749,15.922
TMAX,MAMJJASO,15.247,17.458,17.933,18.376,16.343,16.769,17.944,16.402,17.183,17.869,17.804,17.129,18.537,17.937,18.698,17.684,16.587,16.972,17.594,18.518,19.205,18.213,18.591,18.913,17.512,17.878,18.587,19.376,18.366,19.027,17.457,19.241,19.906,18.395,19.218,19.417,18.869,19.270,20.455,19.917,19.034,18.127,19.417,19.510,20.858
TMAX,AMJJAS,17.438,19.511,20.304,21.034,18.467,19.125,20.478,19.376,19.930,19.778,19.380,19.331,21.602,20.617,21.460,19.892,19.242,19.476,20.359,21.103,21.614,20.176,21.260,22.241,19.789,20.421,21.207,21.956,20.734,22.369,20.079,21.821,22.441,21.181,20.956,22.142,21.854,21.458,23.571,21.911,21.500,20.537,21.675,21.520,23.326
TMAX,ONDJFM,2.084,4.430,4.066,6.182,4.640,3.621,4.429,3.331,5.605,5.479,7.184,5.556,5.181,4.573,6.302,5.624,3.765,5.343,6.394,4.428,4.802,7.804,5.986,4.660,4.911,5.109,4.391,8.615,5.816,6.022,5.274,5.508,5.731,5.055,8.627,7.536,7.194,5.459,5.525,7.778,8.481,6.410,7.094,7.888,8.816
TMAX,NDJF,0.289,1.101,0.735,3.641,2.209,0.143,1.579,1.044,3.753,2.142,4.140,2.292,2.776,2.534,3.452,3.864,0.606,2.579,5.141,1.149,2.262,5.134,2.214,2.054,3.110,2.508,1.474,5.938,3.520,3.671,2.799,2.927,2.449,2.882,5.601,5.012,5.242,2.359,3.365,4.484,6.001,4.151,4.663,5.156,5.971
TMIN,year,1.823,2.732,2.862,3.156,2.650,1.818,2.143,1.968,2.938,3.438,3.196,2.605,3.206,2.636,4.104,3.261,2.427,2.704,3.407,3.805,4.086,3.460,3.944,2.799,3.197,2.715,3.264,4.187,4.392,3.876,3.465,3.607,3.606,4.059,5.402,4.632,4.182,3.743,5.011,4.908,4.529,3.668,4.536,5.338,6.054
TMIN,MAMJJASO,5.551,6.919,6.654,6.973,5.893,6.183,6.045,5.712,6.171,6.930,6.028,6.567,6.642,6.287,7.266,6.780,6.292,5.687,7.216,7.599,7.311,7.717,7.456,6.551,6.804,6.532,6.914,7.324,7.366,7.447,7.272,7.295,7.693,7.289,8.143,7.774,7.702,7.756,8.586,8.254,7.404,6.855,7.521,8.461,9.558
TMIN,AMJJAS,7.165,8.284,8.368,8.940,7.555,8.060,8.268,8.152,8.316,8.621,7.499,8.131,8.733,8.034,9.234,8.500,8.464,8.001,9.326,9.505,8.834,9.091,9.609,9.030,8.489,8.919,9.141,9.108,9.154,9.402,9.832,9.541,9.797,9.394,9.644,9.801,9.643,9.469,11.125,10.151,9.060,9.118,9.569,10.150,11.382
TMIN,ONDJFM,-5.650,-3.120,-3.688,-0.878,-3.430,-4.229,-3.455,-5.298,-0.942,-2.407,-1.684,-2.324,-2.634,-3.322,-0.828,-1.509,-4.008,-2.702,-1.735,-2.553,-2.370,0.121,-2.291,-3.592,-2.678,-2.727,-3.968,0.637,-1.710,-1.216,-2.051,-2.663,-3.017,-1.822,0.537,-0.036,-0.276,-2.553,-1.506,-0.901,0.107,-0.686,-1.619,0.469,1.416
TMIN,NDJF,-7.354,-5.925,-6.405,-2.533,-5.111,-7.410,-5.181,-6.497,-1.872,-4.343,-3.605,-4.590,-4.234,-4.923,-2.832,-2.631,-5.974,-4.498,-1.913,-5.228,-4.372,-1.671,-5.056,-5.507,-3.905,-4.264,-6.029,-0.437,-3.164,-2.946,-3.653,-4.030,-4.936,-3.142,-0.808,-1.446,-1.536,-5.110,-2.601,-2.881,-0.852,-1.915,-2.343,-0.932,-0.412
