Variable,Season,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
TMAX,year,17.752,18.383,18.136,18.032,18.098,18.723,18.401,18.125,18.459,18.457,19.163,17.466,18.133,18.781,19.490,18.223,17.680,18.039,18.740,19.112,19.025,19.181,18.684,18.619,18.561,17.835,18.026,18.953,18.931,18.633,19.066,18.419,19.363,19.484,19.139,19.255,19.411,19.332,19.602,19.530,19.538,19.366,19.438,19.910,21.066
TMAX,MAMJJASO,21.573,22.925,22.113,22.193,21.982,22.656,22.628,21.815,22.938,22.343,23.175,21.676,22.204,23.175,23.817,22.016,21.315,21.506,22.836,23.346,23.158,23.977,22.318,22.865,22.458,21.767,22.047,22.900,22.819,22.131,22.445,22.208,24.046,23.387,22.446,22.749,23.149,23.596,23.673,23.500,23.112,22.940,22.957,23.291,25.166
TMAX,AMJJAS,23.614,24.462,24.467,24.372,23.863,25.472,25.155,24.937,25.545,24.398,24.778,23.396,24.048,25.183,25.935,24.273,24.290,23.875,25.388,25.558,25.677,25.396,24.161,25.326,24.259,23.941,24.236,25.144,24.768,24.353,24.852,24.724,26.151,25.568,24.446,25.280,25.419,25.632,25.777,25.109,24.963,25.705,25.533,24.928,27.390
TMAX,ONDJFM,8.508,12.395,12.092,12.168,11.399,12.121,12.412,11.042,11.998,11.821,12.887,12.412,11.346,12.188,13.389,12.673,10.600,12.646,11.971,11.892,12.074,14.229,12.424,11.794,12.444,12.601,11.514,13.052,12.462,12.467,13.323,13.190,11.259,13.717,14.012,12.514,14.394,12.477,13.564,13.018,14.313,13.996,12.033,14.494,15.489
TMAX,NDJF,7.091,9.826,9.879,10.098,9.817,9.801,11.208,9.932,10.689,9.293,10.704,9.994,9.096,9.778,10.666,10.845,9.158,11.853,10.986,9.463,9.640,12.156,9.568,9.927,10.422,10.329,9.591,11.478,10.157,10.832,11.801,12.339,9.132,11.551,12.336,11.156,13.383,10.024,11.624,10.541,12.391,12.553,11.235,12.917,13.635
TMIN,year,7.858,8.153,8.195,7.899,8.357,8.437,8.287,8.353,8.284,8.015,8.488,7.853,7.839,8.066,9.273,8.398,8.515,8.070,8.515,8.719,7.919,8.634,8.619,8.717,8.541,8.599,8.597,9.074,9.152,9.298,9.602,8.422,9.088,9.312,9.405,8.934,9.221,8.612,9.711,9.393,8.969,9.025,9.031,9.787,10.634
TMIN,MAMJJASO,10.583,11.454,11.123,10.879,10.836,11.099,11.467,10.740,11.506,11.191,11.323,11.190,11.244,11.249,12.369,11.011,10.944,10.422,11.489,11.894,10.985,12.047,11.532,11.654,11.668,11.781,12.136,12.137,12.188,11.975,12.131,11.522,12.632,12.231,11.798,12.138,12.422,11.707,12.881,12.192,11.826,11.633,11.740,12.653,13.899
TMIN,AMJJAS,11.886,12.607,12.695,12.755,12.076,12.951,13.055,12.849,13.491,12.792,12.825,12.386,12.735,12.831,13.847,12.861,12.905,12.246,13.619,13.655,12.875,13.320,13.138,13.687,13.103,13.605,13.667,13.810,13.787,13.833,13.919,13.528,14.344,13.927,13.360,13.742,14.157,13.492,14.589,13.743,13.395,13.627,13.933,14.111,15.801
TMIN,ONDJFM,0.926,4.023,3.604,3.314,4.141,4.137,4.490,2.699,4.352,2.618,3.168,4.243,2.393,2.902,4.999,4.361,3.648,3.985,3.652,3.403,2.941,5.057,2.969,3.533,3.971,4.051,3.481,4.203,4.051,4.551,5.152,4.836,2.346,5.232,5.111,4.251,4.953,3.471,4.510,4.060,5.030,4.839,3.391,5.184,6.153
TMIN,NDJF,-0.092,2.148,1.972,1.583,3.293,2.485,3.741,1.922,3.412,0.459,1.789,2.578,0.420,0.884,3.599,2.740,3.012,3.344,3.316,1.753,1.476,3.477,0.872,2.768,2.311,2.425,1.790,2.453,2.164,3.680,4.141,3.994,0.665,3.626,4.037,3.027,3.463,1.484,3.319,2.415,3.715,4.039,2.626,4.186,4.647
