Variable,Season,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
TMAX,year,8.665,10.193,10.659,11.484,10.225,8.715,9.861,8.458,10.423,11.908,11.791,11.021,11.389,10.108,10.881,10.926,9.506,10.506,10.287,11.696,11.943,11.022,11.970,10.766,10.529,10.981,11.588,11.825,11.886,10.822,10.284,11.742,10.617,11.452,12.145,12.652,11.539,11.220,12.611,13.071,13.143,11.454,12.100,12.836,13.777
TMAX,MAMJJASO,13.592,15.388,15.461,16.483,15.282,14.849,15.126,13.512,15.552,16.327,15.828,15.692,16.060,14.912,15.959,16.373,15.279,15.435,15.235,17.144,16.472,16.346,17.588,15.820,15.607,15.918,16.836,17.066,16.392,15.938,16.680,17.021,16.389,16.316,17.626,17.119,16.723,15.897,18.583,18.025,17.457,16.963,17.016,18.027,19.204
TMAX,AMJJAS,16.629,18.097,18.110,19.622,18.004,17.651,17.840,16.376,18.774,18.925,17.890,18.343,19.370,17.804,19.341,19.011,18.343,18.536,18.163,20.255,18.879,19.230,21.197,19.055,18.213,19.212,20.207,19.467,19.006,19.444,20.111,20.238,19.280,19.933,20.189,19.665,20.177,18.415,22.287,20.779,19.882,19.664,19.293,21.229,22.191
TMAX,ONDJFM,-2.848,2.257,2.122,3.968,2.509,-0.102,1.462,0.443,2.778,4.410,5.259,3.543,4.478,2.679,1.560,3.462,0.112,3.038,2.964,1.797,3.453,4.434,4.203,0.707,2.424,2.745,1.579,5.800,4.173,3.270,0.913,1.291,3.163,1.402,5.053,4.714,4.352,3.119,2.816,4.437,6.737,3.941,4.951,4.446,4.526
TMAX,NDJF,-4.013,-0.052,-0.912,2.407,0.421,-3.714,-1.790,-1.800,0.985,2.318,3.045,1.256,2.400,1.597,-0.843,1.712,-3.304,0.459,1.506,-1.348,1.459,2.244,1.386,-2.017,0.573,1.259,-1.035,3.005,2.263,1.052,-1.741,-1.321,0.445,-0.366,2.344,1.982,2.506,0.945,1.220,1.502,4.883,1.255,2.379,1.745,1.845
TMIN,year,1.400,2.663,2.770,3.490,2.910,1.019,2.080,0.461,2.810,4.303,4.267,3.361,3.557,2.442,2.915,3.135,1.154,2.845,3.072,3.488,4.174,3.332,3.437,2.964,2.993,2.753,3.208,3.889,4.349,3.158,2.131,3.395,2.642,2.916,3.545,3.628,3.137,3.276,3.404,3.799,4.519,2.532,3.171,3.918,4.729
TMIN,MAMJJASO,5.489,6.512,6.136,7.032,6.507,6.434,6.149,4.669,6.591,7.333,6.634,6.620,6.512,5.773,6.569,7.130,5.382,6.070,6.559,6.970,6.651,7.273,7.153,6.333,6.607,5.856,6.598,7.583,7.016,6.472,6.973,7.032,6.823,5.916,7.019,5.910,6.570,6.234,7.169,6.621,6.640,6.549,6.035,6.809,8.010
TMIN,AMJJAS,8.130,8.574,7.977,9.200,8.549,8.284,8.179,7.449,9.207,8.860,8.019,8.422,8.739,7.914,8.873,8.739,7.830,8.177,8.895,8.831,8.139,9.414,9.410,8.736,8.312,8.575,9.048,9.215,8.613,8.662,10.006,9.450,8.751,8.792,8.804,7.806,8.755,7.729,10.042,8.088,8.023,8.566,7.826,8.631,9.903
TMIN,ONDJFM,-9.933,-3.230,-3.501,-1.418,-3.069,-5.778,-4.454,-6.222,-2.488,-1.291,-0.273,-1.525,-1.047,-2.483,-3.680,-1.623,-6.467,-2.501,-1.704,-3.558,-1.062,-0.507,-1.732,-4.902,-2.411,-2.592,-4.375,-0.130,-0.271,-1.509,-4.485,-4.863,-2.585,-4.135,-0.583,-1.128,-1.804,-2.199,-2.556,-1.794,1.002,-1.832,-1.954,-1.023,-1.064
TMIN,NDJF,-10.333,-5.018,-5.994,-2.306,-4.421,-9.435,-7.361,-7.720,-3.453,-2.745,-1.898,-3.134,-2.273,-2.887,-5.588,-2.968,-8.918,-4.215,-2.226,-5.921,-2.460,-1.280,-3.904,-6.984,-3.629,-3.217,-5.628,-2.071,-1.326,-3.145,-6.281,-6.470,-4.376,-4.770,-2.281,-2.407,-2.461,-3.794,-3.372,-3.308,0.482,-3.828,-2.838,-2.649,-2.856
TAVG,year,4.887,6.280,6.578,7.360,6.420,4.698,5.846,4.357,6.434,7.957,7.849,7.016,7.369,6.145,6.725,6.833,5.292,6.563,6.488,7.575,7.964,7.026,7.640,6.748,6.646,6.798,7.384,7.764,8.062,6.969,6.187,7.556,6.623,7.225,7.726,8.155,7.412,7.318,8.068,8.606,8.926,7.115,7.697,8.500,9.327
TAVG,MAMJJASO,9.279,10.671,10.568,11.534,10.667,10.336,10.411,8.866,10.827,11.593,11.003,10.897,11.095,10.138,11.015,11.501,10.253,10.618,10.681,12.033,11.413,11.593,12.264,10.899,10.910,10.784,11.675,12.147,11.611,11.108,11.742,11.988,11.557,11.109,12.167,11.474,11.668,11.118,12.902,12.486,12.158,11.818,11.550,12.530,13.650
TAVG,AMJJAS,12.059,13.019,12.824,14.185,13.024,12.651,12.805,11.690,13.735,13.665,12.759,13.160,13.888,12.669,13.884,13.684,12.999,13.238,13.332,14.625,13.419,14.107,15.275,13.746,13.100,13.808,14.602,14.180,13.770,13.976,14.950,14.853,14.007,14.338,14.394,13.799,14.523,13.171,16.256,14.649,14.106,14.236,13.654,15.082,16.149
TAVG,ONDJFM,-6.304,-0.476,-0.716,1.238,-0.288,-2.977,-1.516,-2.911,0.068,1.426,2.389,0.870,1.633,0.077,-1.129,0.708,-3.198,0.188,0.474,-1.083,1.130,1.854,1.108,-2.151,-0.049,0.016,-1.428,2.800,1.903,0.884,-1.727,-1.780,0.235,-1.264,2.154,1.757,1.269,0.548,0.189,1.388,3.933,1.173,1.494,1.809,1.801
TAVG,NDJF,-7.063,-2.427,-3.351,0.098,-1.943,-6.517,-4.453,-4.683,-1.249,-0.226,0.533,-0.942,0.116,-0.570,-3.211,-0.731,-6.090,-1.872,-0.487,-3.757,-0.434,0.433,-1.257,-4.448,-1.503,-0.981,-3.293,0.549,0.496,-0.951,-3.888,-3.840,-1.926,-2.415,-0.002,-0.116,0.154,-1.233,-0.955,-0.762,2.824,-1.135,-0.085,-0.287,-0.341
RH,year,83.539,81.908,80.019,79.809,80.961,81.807,81.282,81.602,81.397,81.451,80.709,81.463,79.538,78.730,78.866,80.480,78.902,79.607,81.281,79.271,80.015,81.537,77.326,79.835,81.650,80.580,79.733,80.975,80.862,81.907,82.900,80.460,81.067,80.887,79.187,78.666,81.544,81.590,77.712,77.475,78.898,79.141,79.049,78.522,78.566
RH,MAMJJASO,81.149,78.964,76.694,77.211,78.935,80.082,78.748,78.925,79.291,78.786,77.333,78.846,75.664,76.450,75.292,77.901,75.356,76.578,78.664,75.048,75.929,79.517,73.209,75.818,78.265,77.137,75.467,77.416,77.441,78.272,80.093,77.093,78.111,77.287,75.237,74.262,77.922,78.021,72.845,72.789,74.741,75.127,74.880,73.804,74.657
RH,AMJJAS,80.789,77.746,75.082,75.372,77.905,78.241,77.457,79.002,77.519,76.866,76.429,77.347,73.150,74.547,73.076,76.224,73.907,74.484,78.086,72.622,74.538,78.517,70.128,74.125,75.801,75.348,72.410,75.404,74.492,75.199,78.836,76.039,75.773,76.651,73.887,73.242,75.743,75.520,70.601,69.683,72.749,73.696,74.406,70.789,72.633
RH,ONDJFM,83.989,86.084,86.095,85.362,82.693,85.200,85.223,84.772,85.726,84.606,85.148,85.877,85.593,85.477,83.443,84.592,82.958,84.683,85.454,85.616,85.527,84.404,85.068,83.964,87.317,86.648,86.328,86.464,87.411,88.422,87.942,85.093,85.593,85.665,85.111,84.480,85.518,87.819,85.772,85.161,84.712,86.058,81.909,86.824,85.694
RH,NDJF,88.159,87.422,88.080,86.282,83.825,85.176,86.109,86.633,86.807,85.889,87.375,87.277,87.151,86.471,84.121,86.103,85.011,86.208,86.934,87.675,87.042,87.287,86.414,85.848,88.120,87.939,88.216,88.171,87.998,89.315,88.528,87.997,87.016,88.269,87.110,88.063,87.775,89.107,87.990,87.247,87.380,87.387,86.595,88.868,87.851
RHmin,year,66.246,64.883,62.822,62.591,64.558,63.895,63.927,63.293,64.041,64.532,64.167,64.154,63.177,62.238,61.875,63.132,61.522,63.218,64.899,62.695,63.811,64.317,60.394,63.251,64.945,63.092,62.471,63.975,64.878,65.605,64.811,62.872,64.048,63.123,61.317,60.744,64.092,64.963,59.984,60.134,62.024,61.198,61.274,61.601,61.055
RHmin,MAMJJASO,62.658,59.740,57.438,57.801,60.051,61.316,59.699,59.510,59.954,59.725,58.278,59.353,56.870,57.744,56.513,58.654,56.234,57.742,60.197,56.021,56.602,60.222,53.997,56.929,59.437,56.864,55.829,58.210,58.647,59.147,59.799,57.344,58.869,56.860,54.702,53.237,58.070,58.957,52.389,52.909,54.910,55.475,54.309,53.874,54.310
RHmin,AMJJAS,61.603,57.788,55.016,54.990,58.203,58.294,57.797,59.757,57.816,56.574,56.779,56.964,53.523,55.418,53.369,56.044,54.342,54.732,59.033,52.559,54.433,58.407,49.934,54.500,56.273,55.026,52.426,55.449,54.999,54.718,58.507,55.767,55.804,55.479,52.826,52.082,54.514,55.619,50.077,48.992,51.914,53.801,53.533,49.787,51.478
RHmin,ONDJFM,66.637,71.982,71.560,71.674,68.989,70.145,70.149,67.941,71.891,69.758,70.917,72.253,71.380,72.078,70.064,70.692,66.648,70.576,72.920,71.238,73.594,72.013,69.767,69.778,74.240,72.647,71.152,71.732,75.555,75.714,73.763,69.603,70.824,72.036,70.821,70.412,70.189,74.333,72.315,70.263,71.259,71.945,66.254,73.356,72.075
RHmin,NDJF,71.297,74.467,74.599,74.141,71.652,70.105,71.842,71.133,74.709,72.519,74.055,75.353,74.838,74.820,71.915,73.121,70.027,73.787,76.266,74.503,76.674,77.520,72.459,72.699,76.621,75.883,75.864,75.020,78.295,78.092,76.313,74.145,74.252,76.739,74.488,76.651,74.854,77.034,76.045,75.034,76.383,74.541,73.466,77.597,75.942
PREC,year,795.180,755.086,535.176,691.885,631.518,713.672,714.913,681.703,638.038,696.338,798.446,579.269,551.576,641.087,682.740,667.084,519.024,657.005,822.210,613.741,641.945,727.457,607.703,602.546,702.909,631.171,563.387,752.947,634.001,630.169,471.892,302.419,449.960,536.967,599.776,563.570,748.445,767.683,454.064,501.030,517.835,576.427,592.880,646.237,539.674
PREC,MAMJJASO,589.498,521.125,362.894,473.994,470.968,530.574,493.157,487.085,451.366,519.734,570.103,382.302,372.175,440.725,453.911,484.163,343.777,487.063,609.586,389.072,430.801,537.896,410.899,448.388,511.726,469.928,418.711,517.362,449.191,442.397,343.138,205.483,317.419,386.813,456.665,360.837,517.615,584.255,325.570,352.552,374.528,435.982,402.099,421.323,362.089
PREC,AMJJAS,434.339,365.544,312.679,333.025,400.112,448.772,430.385,446.563,380.154,384.524,439.964,319.275,262.217,354.647,318.218,380.794,279.178,351.897,473.805,272.106,352.347,432.341,242.680,359.954,370.650,395.193,338.195,421.551,318.187,313.981,297.202,180.535,247.762,351.982,347.478,308.926,391.767,424.987,266.122,266.622,275.973,378.784,363.568,274.509,312.345
PREC,ONDJFM,90.167,401.487,347.952,330.423,270.501,221.489,285.560,253.844,261.794,261.216,352.229,299.952,290.335,305.373,321.603,365.234,193.686,236.693,381.436,327.902,351.180,251.308,360.001,247.052,322.437,310.686,179.769,334.838,307.654,283.541,261.466,161.466,142.423,206.785,227.189,262.289,263.005,343.231,302.684,216.053,239.469,194.204,248.396,266.673,350.638
PREC,NDJF,66.441,212.504,222.044,225.890,195.231,130.512,216.043,191.469,193.573,191.129,213.090,204.188,199.533,206.299,191.287,240.049,144.670,166.391,228.788,202.504,206.749,188.216,254.961,109.982,193.482,176.848,123.702,248.589,186.527,164.759,151.084,135.095,110.484,140.507,157.507,157.161,218.404,197.596,183.108,128.569,158.833,109.701,208.503,183.091,228.829
SRAD,year,3064.322,3249.559,3560.125,3401.181,3227.564,3231.530,3506.610,3300.675,3427.755,3392.441,3436.264,3414.252,3468.912,3370.825,3567.356,3539.492,3543.111,3519.432,3314.520,3670.495,3635.658,3507.065,3826.292,3634.145,3501.229,3714.518,3802.876,3589.455,3535.638,3680.433,3622.173,3786.789,3548.893,3652.151,3699.658,3724.072,3648.839,3427.863,3998.337,3879.686,3714.861,3473.173,4042.354,3946.798,3588.743
SRAD,MAMJJASO,2840.546,3021.296,3325.981,3155.192,2995.274,2976.258,3242.460,3051.184,3193.577,3149.519,3216.206,3181.179,3232.973,3117.097,3315.181,3279.373,3266.934,3279.928,3072.533,3444.509,3419.407,3241.268,3583.302,3394.752,3256.374,3461.988,3548.706,3340.628,3289.446,3452.874,3378.720,3500.226,3294.377,3421.725,3441.743,3474.929,3407.074,3203.482,3753.403,3622.573,3471.001,3138.437,3665.821,3681.957,3362.095
SRAD,AMJJAS,2454.947,2658.815,2902.575,2824.677,2626.478,2683.113,2846.301,2599.188,2813.163,2828.796,2799.114,2817.801,2898.464,2745.640,2941.885,2933.401,2840.830,2903.444,2638.577,3051.690,2988.955,2839.027,3192.534,2984.252,2894.041,3011.433,3138.522,2939.702,2933.336,3128.115,2928.047,3037.628,2892.518,2974.774,3002.499,3032.824,3044.008,2873.299,3285.767,3209.869,3024.325,2671.202,3152.028,3243.274,2986.677
SRAD,ONDJFM,419.827,571.485,632.728,568.346,627.237,543.969,628.165,678.832,589.578,652.568,603.858,599.280,602.715,584.944,623.114,582.980,741.880,657.397,607.821,656.728,609.695,675.618,658.484,671.370,574.995,674.077,706.457,645.536,592.822,581.346,625.513,758.251,703.288,670.383,665.464,658.953,684.362,574.350,637.352,693.792,727.674,631.771,921.454,724.911,692.536
SRAD,NDJF,137.838,239.040,226.031,229.360,247.143,247.508,265.053,251.829,222.947,263.132,219.842,230.753,235.780,239.577,244.362,249.786,291.391,263.996,216.464,236.102,236.446,226.830,250.857,261.606,229.146,267.566,244.819,251.329,232.887,248.584,238.466,270.520,270.600,221.644,266.612,234.026,256.423,230.625,242.667,247.186,253.467,249.844,409.756,272.555,264.088
WIND,year,2.778,2.812,2.666,2.937,2.770,2.711,2.869,2.772,2.912,2.861,2.942,2.764,2.851,2.926,2.826,2.814,2.616,2.777,2.889,2.760,2.724,2.610,2.749,2.664,2.687,2.653,2.668,2.906,2.940,2.625,2.569,2.707,2.696,2.580,2.722,2.906,2.646,2.799,2.601,2.876,2.961,2.820,2.708,2.769,2.597
