Variable,Season,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
TMAX,year,13.141,14.840,14.856,15.671,14.075,13.735,14.622,13.995,14.833,15.312,15.808,14.207,15.829,14.977,16.245,14.970,13.660,14.690,15.182,15.094,16.801,15.339,16.197,15.896,14.700,14.624,15.419,16.761,16.494,16.198,14.625,16.076,16.739,15.801,16.757,16.805,16.072,16.415,17.116,17.450,16.647,16.279,17.297,17.408,18.439
TMAX,MAMJJASO,18.188,20.333,20.266,21.139,19.113,19.375,20.355,19.141,19.802,20.269,20.651,19.379,21.123,20.448,21.214,20.072,18.874,19.514,19.998,20.700,21.935,20.840,21.179,21.746,19.834,19.939,20.712,21.955,21.072,21.780,19.659,21.816,22.754,20.886,21.311,21.659,21.156,22.119,22.652,22.386,21.630,21.120,22.173,22.225,23.617
TMAX,AMJJAS,20.337,22.301,22.745,23.670,21.269,22.043,23.229,22.209,22.547,22.084,22.373,21.682,24.145,23.213,23.879,22.280,21.663,22.028,22.632,23.112,24.408,22.687,23.626,25.157,22.215,22.450,23.186,24.710,23.330,24.927,22.288,24.602,25.308,23.673,23.058,24.507,24.114,24.250,25.794,24.247,24.101,23.691,24.641,24.089,26.146
TMAX,ONDJFM,4.164,6.866,6.257,8.420,6.623,5.222,6.331,5.319,7.881,7.481,9.643,7.337,7.250,6.586,8.289,7.878,5.382,7.337,8.704,6.422,7.155,10.050,8.230,6.528,6.982,7.013,6.331,10.831,7.836,8.077,7.446,7.326,7.792,7.315,10.329,9.425,9.132,7.398,7.985,9.999,10.561,8.787,9.341,10.202,11.538
TMAX,NDJF,1.758,3.252,2.671,5.684,3.760,1.578,3.764,2.731,5.758,4.024,6.458,3.981,4.727,4.287,5.054,6.002,2.106,4.372,7.279,2.773,4.225,7.192,4.320,3.337,4.972,4.141,3.251,8.188,5.309,5.127,4.614,4.767,4.143,4.992,7.063,6.801,7.168,3.923,5.825,6.411,7.832,6.285,7.002,7.370,8.523
TMIN,year,4.598,5.584,5.725,5.850,5.352,4.599,5.012,5.028,5.677,6.269,5.883,5.289,6.268,5.616,7.024,5.882,5.188,5.411,5.950,6.339,6.715,6.141,6.313,4.937,5.394,4.913,5.585,6.283,6.240,6.082,5.641,5.510,5.768,6.165,7.173,6.605,6.108,5.772,6.998,6.846,6.467,5.552,6.350,7.178,7.632
TMIN,MAMJJASO,8.379,9.745,9.678,9.818,8.772,8.922,8.969,8.822,9.188,9.896,9.021,9.427,9.898,9.674,10.516,9.470,9.186,8.544,9.868,10.446,10.252,10.454,9.808,9.146,9.051,8.884,9.303,9.566,9.499,9.731,9.472,9.351,9.859,9.390,10.149,9.895,9.785,9.775,10.670,10.207,9.530,8.700,9.549,10.468,11.375
TMIN,AMJJAS,10.066,11.205,11.487,11.952,10.462,11.048,11.375,11.307,11.327,11.667,10.634,11.141,12.090,11.605,12.662,11.449,11.405,10.853,12.028,12.456,12.069,11.840,11.997,11.742,10.806,11.250,11.500,11.442,11.355,11.707,11.922,11.699,11.955,11.458,11.706,12.063,11.820,11.614,13.234,12.169,11.254,11.049,11.821,12.204,13.303
TMIN,ONDJFM,-2.803,-0.471,-0.855,1.431,-0.785,-1.879,-0.645,-2.358,1.482,0.065,0.698,0.015,-0.082,-0.478,1.372,0.803,-1.646,0.148,0.573,-0.425,0.051,2.293,-0.028,-1.643,-0.643,-0.737,-1.354,2.173,0.099,0.572,0.256,-0.725,-1.139,0.423,2.098,1.747,1.363,-0.804,0.579,0.813,1.753,1.308,-0.334,2.084,2.762
TMIN,NDJF,-4.564,-3.183,-3.459,-0.328,-2.588,-4.940,-2.007,-3.639,0.302,-2.113,-1.253,-2.232,-1.790,-2.248,-0.894,-0.304,-3.621,-1.614,0.181,-3.230,-2.033,0.455,-2.790,-3.723,-1.958,-2.533,-3.328,0.933,-1.637,-1.158,-1.553,-2.053,-3.124,-0.877,0.570,0.307,0.038,-3.405,-0.443,-1.128,0.622,0.128,-1.012,0.703,0.794
