Variable,Season,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
TMAX,year,13.396,14.289,14.093,14.546,13.981,14.441,14.607,14.141,14.425,14.930,15.543,13.416,14.822,15.036,16.012,14.387,13.764,13.815,14.530,15.320,15.825,15.310,15.379,15.094,15.316,14.469,15.192,16.483,16.160,15.871,15.697,15.353,16.435,16.438,15.809,16.421,16.498,16.352,16.355,17.016,16.845,15.982,16.800,17.461,18.093
TMAX,MAMJJASO,17.927,19.397,18.618,19.322,18.549,19.355,19.744,18.632,19.362,19.267,19.967,18.129,19.619,20.061,20.938,18.925,18.191,17.720,19.296,19.953,20.626,20.608,19.501,20.074,19.760,18.962,19.978,21.149,20.970,20.307,19.813,20.015,22.460,21.124,19.822,20.339,21.052,21.426,21.357,21.601,21.196,19.963,20.893,21.576,22.871
TMAX,AMJJAS,19.955,20.995,21.085,21.451,20.652,22.409,22.669,22.089,22.076,21.224,21.530,20.184,21.654,22.365,23.336,21.158,21.595,20.189,21.921,22.354,23.268,22.114,21.444,23.013,21.713,21.392,22.231,23.778,22.917,22.965,22.734,22.788,24.787,23.592,21.893,23.376,23.804,23.593,23.877,23.163,23.252,23.107,23.663,23.299,25.287
TMAX,ONDJFM,2.951,7.715,7.079,8.505,6.355,6.509,7.400,5.930,7.657,7.595,8.658,7.940,6.954,7.673,8.919,8.201,5.052,8.241,7.526,6.880,7.644,10.053,8.676,7.041,8.163,8.581,7.352,10.264,8.095,8.615,8.759,8.755,6.977,9.401,10.446,8.201,10.571,8.166,9.315,9.274,11.232,9.675,8.349,11.131,12.160
TMAX,NDJF,0.935,4.439,4.212,6.072,4.325,3.286,5.514,4.253,6.108,4.693,5.649,5.368,4.287,5.031,5.548,6.020,3.008,6.996,6.221,3.701,4.914,7.651,5.355,4.526,5.929,6.141,4.785,8.333,4.974,6.230,6.629,7.576,4.035,6.423,8.197,6.415,9.415,5.162,7.185,5.876,8.872,7.729,7.479,9.100,9.656
TMIN,year,4.299,4.714,4.784,4.589,4.898,4.448,4.633,4.453,4.701,4.761,5.120,4.486,4.568,4.474,6.065,4.772,4.835,4.213,5.350,5.989,5.368,5.540,5.759,4.509,4.899,4.853,5.008,5.888,5.616,5.730,5.890,4.910,5.570,5.939,6.569,6.226,5.954,5.507,6.553,6.643,6.402,5.951,6.227,7.224,7.701
TMIN,MAMJJASO,7.890,8.605,8.500,8.295,8.047,8.233,8.533,7.637,8.534,8.540,8.452,8.422,8.413,8.562,9.795,8.196,8.170,7.151,9.100,9.754,8.995,9.696,9.346,8.284,8.598,8.489,8.958,9.373,9.295,9.057,9.281,8.697,10.097,9.296,9.634,9.610,9.779,9.390,10.379,9.854,9.639,8.919,9.227,10.475,11.406
TMIN,AMJJAS,9.594,10.019,10.430,10.498,9.659,10.470,10.644,10.327,10.818,10.236,10.116,10.083,10.153,10.252,11.723,10.280,10.591,9.418,11.454,11.763,11.210,11.137,11.128,10.876,10.283,10.689,10.800,11.265,11.112,11.032,11.634,10.992,12.209,11.420,11.431,11.647,11.864,11.285,12.569,11.580,11.313,11.343,11.666,12.171,13.523
TMIN,ONDJFM,-4.260,-0.251,-1.152,-0.318,-0.929,-1.430,-0.325,-2.552,0.098,-1.414,-0.993,-0.382,-1.360,-1.594,0.478,-0.075,-1.966,-0.229,-0.809,-0.520,-0.771,1.582,-0.731,-1.603,-1.261,-0.280,-1.318,1.045,-0.533,0.057,0.356,0.040,-2.335,0.735,1.310,0.635,1.334,-1.124,0.524,0.369,1.897,1.274,-0.118,2.183,2.703
TMIN,NDJF,-5.919,-2.564,-3.236,-2.207,-2.143,-4.005,-1.445,-3.709,-0.986,-3.726,-3.145,-2.216,-3.382,-3.993,-1.757,-1.880,-3.218,-1.236,-1.287,-2.837,-2.657,-0.119,-3.472,-3.074,-3.101,-2.002,-3.360,-0.491,-2.945,-1.424,-1.201,-1.060,-4.533,-1.108,-0.101,-0.785,-0.105,-3.742,-0.743,-1.691,0.489,0.200,-0.717,1.076,0.854
TAVG,year,8.700,9.347,9.182,9.271,9.227,9.255,9.408,9.169,9.313,9.611,10.071,8.701,9.419,9.522,10.782,9.250,9.047,8.787,9.770,10.371,10.402,10.189,10.182,9.608,9.814,9.311,9.710,10.879,10.527,10.451,10.417,9.720,10.703,10.805,10.759,11.025,10.929,10.690,11.112,11.547,11.313,10.663,11.369,12.059,12.807
TAVG,MAMJJASO,12.812,13.839,13.305,13.476,13.123,13.619,13.955,13.049,13.713,13.720,14.003,13.061,13.763,14.116,15.152,13.268,13.017,12.267,14.072,14.593,14.672,14.974,14.057,14.002,13.845,13.368,14.087,15.024,14.781,14.347,14.177,13.983,15.979,14.835,14.305,14.749,15.147,15.192,15.552,15.471,15.132,14.154,14.981,15.763,17.062
