Variable,Season,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
TMAX,year,13.460,14.853,14.738,15.565,13.678,14.302,14.303,14.314,15.226,15.373,15.939,14.339,16.029,15.283,16.427,15.064,13.807,15.060,15.581,15.423,17.196,15.855,16.160,16.369,14.981,14.452,15.699,16.620,16.441,16.298,14.761,16.443,16.788,15.756,16.453,16.658,16.152,16.844,16.725,17.124,16.802,16.468,17.436,17.397,18.071
TMAX,MAMJJASO,17.962,19.829,19.347,20.528,18.071,19.398,19.232,19.020,19.631,19.467,20.163,18.991,20.530,20.140,20.794,19.351,18.428,19.311,20.085,20.292,21.690,20.870,20.291,21.675,19.526,19.301,20.290,21.057,20.603,21.303,19.284,21.505,22.236,20.374,20.201,20.874,20.327,22.056,21.637,21.493,21.049,20.708,21.847,21.558,22.715
TMAX,AMJJAS,19.862,21.442,21.820,22.722,20.148,22.032,21.909,21.983,22.096,20.842,21.596,20.980,23.103,22.667,22.952,21.320,20.996,21.580,22.512,22.400,24.081,22.333,22.153,24.763,21.676,21.580,22.598,23.847,22.675,24.062,21.941,24.377,24.425,22.941,21.752,23.640,23.048,23.941,24.505,23.119,23.375,23.310,24.062,23.134,24.920
TMAX,ONDJFM,5.528,7.423,7.485,8.932,6.951,6.385,6.825,6.533,8.822,8.933,10.757,8.388,8.188,8.328,9.085,9.066,6.843,8.529,9.308,7.705,8.509,11.173,9.376,8.270,8.113,7.952,6.999,11.739,8.492,8.714,8.203,8.304,8.613,8.348,10.835,9.779,10.183,8.803,8.964,10.406,11.364,9.790,9.685,10.896,12.642
TMAX,NDJF,3.478,3.935,4.644,6.584,4.445,3.376,4.676,4.521,7.012,5.900,8.078,5.046,6.095,6.440,5.806,7.784,3.992,6.043,8.160,4.449,5.660,8.883,5.678,5.383,6.571,5.111,4.397,9.880,6.572,5.793,5.855,6.469,5.268,6.281,8.272,7.523,9.059,5.796,6.919,7.295,9.307,7.612,8.010,8.179,10.012
TMIN,year,4.355,5.037,5.670,5.258,4.948,4.361,4.878,4.981,5.464,5.790,5.669,4.989,6.113,5.591,7.003,5.878,5.050,5.506,5.792,6.160,6.659,6.055,6.704,5.633,5.574,4.980,5.807,6.296,6.421,6.300,5.691,5.755,5.965,6.208,7.439,6.633,6.343,5.876,7.046,7.017,6.390,5.916,6.984,7.651,8.219
TMIN,MAMJJASO,7.901,9.248,9.210,9.097,8.067,8.383,8.583,8.515,8.776,9.092,8.711,8.812,9.435,9.397,10.241,9.019,8.526,8.309,9.405,10.120,9.880,9.913,9.686,9.513,8.959,8.777,9.123,9.330,9.419,9.742,9.138,9.241,9.873,9.316,9.982,9.979,9.639,9.571,10.515,10.134,9.270,8.643,9.975,10.809,11.753
TMIN,AMJJAS,9.468,10.424,10.957,11.164,9.515,10.291,10.767,10.829,10.677,10.761,10.051,10.376,11.363,11.254,12.107,10.821,10.485,10.226,11.499,11.905,11.481,10.964,11.426,11.904,10.541,10.870,11.009,11.080,11.218,11.778,11.262,11.410,11.683,11.134,11.332,11.919,11.529,11.426,12.730,11.910,10.896,10.829,12.035,12.206,13.354
TMIN,ONDJFM,-2.070,-1.067,-0.539,0.914,-0.774,-1.246,-0.578,-1.694,1.490,0.230,0.719,0.456,-0.140,0.081,1.682,1.172,-0.495,0.839,0.972,-0.271,0.122,3.358,0.426,0.087,-0.029,-0.227,-0.346,2.981,0.440,0.976,0.692,0.271,-0.664,1.017,2.930,2.293,1.813,-0.003,0.746,1.412,2.421,1.563,0.546,2.970,3.901
TMIN,NDJF,-3.403,-4.018,-3.001,-0.944,-2.432,-4.034,-1.944,-2.741,0.280,-2.159,-0.865,-2.004,-1.662,-1.480,-0.747,0.364,-2.105,-0.769,0.465,-2.961,-1.977,1.615,-2.368,-1.634,-1.073,-2.198,-2.201,1.760,-1.021,-0.695,-0.787,-1.010,-2.764,-0.187,1.448,0.851,0.343,-2.216,-0.289,-0.428,1.314,0.556,-0.080,1.505,1.919
