Variable,Season,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
TMAX,year,13.936,14.722,15.563,15.515,14.465,14.692,14.808,14.585,15.383,16.651,16.275,15.189,15.383,15.077,16.219,15.866,14.805,16.612,15.689,15.843,16.088,15.687,16.158,17.098,15.652,15.728,16.529,16.055,15.603,16.390,14.848,17.138,16.071,15.257,16.818,17.021,16.348,16.750,17.166,17.113,17.540,16.115,18.299,17.765,17.028
TMAX,MAMJJASO,17.326,18.344,18.913,19.085,17.645,18.853,18.606,18.494,18.662,20.056,19.956,19.092,18.710,18.449,19.531,19.345,18.475,20.287,19.102,19.828,19.449,19.622,19.235,21.541,19.447,20.169,20.500,19.471,18.836,20.435,19.171,20.763,20.107,19.074,20.242,20.417,19.742,20.920,21.181,20.844,20.897,19.666,22.354,21.711,20.368
TMAX,AMJJAS,19.114,19.894,21.166,20.959,19.436,20.784,20.229,20.575,20.460,21.422,21.441,20.950,21.038,20.460,21.014,20.836,20.300,21.754,20.973,21.699,21.404,20.742,20.685,23.935,21.296,21.856,22.423,21.405,20.818,22.476,21.207,22.567,21.490,20.859,21.452,22.633,21.904,22.405,23.531,22.609,23.325,21.272,24.088,23.357,21.899
TMAX,ONDJFM,7.905,8.933,9.832,9.624,9.459,8.954,8.764,8.927,10.164,11.290,12.283,9.611,9.415,10.063,9.938,11.078,10.310,10.543,11.462,9.568,10.175,10.968,10.999,10.789,10.072,9.643,9.319,12.050,10.620,9.387,9.638,9.811,11.402,9.637,11.492,11.132,11.679,11.094,10.261,11.801,11.951,11.056,11.328,12.290,12.606
TMAX,NDJF,7.115,6.449,8.562,7.996,7.843,7.354,6.037,6.819,8.829,8.988,10.448,6.737,7.682,9.070,8.022,9.866,7.930,8.096,9.775,7.573,8.097,9.321,8.153,8.225,8.891,7.124,6.601,10.364,9.375,7.113,7.413,7.530,8.718,7.761,9.230,8.714,10.944,8.942,8.043,9.730,10.354,9.633,9.249,9.779,10.356
TMIN,year,5.131,5.899,6.521,6.072,5.324,4.955,5.557,5.817,6.463,6.331,6.510,5.778,6.308,5.982,7.323,6.501,5.652,6.652,6.176,6.729,6.916,6.562,6.940,6.784,6.309,6.092,6.980,6.615,6.328,6.496,5.595,7.054,6.456,6.267,7.396,7.007,6.755,6.738,7.463,7.035,7.522,6.538,7.762,7.890,7.838
TMIN,MAMJJASO,7.640,8.811,8.657,8.785,7.346,7.960,8.257,8.635,8.848,8.843,8.906,8.678,8.827,8.450,9.454,8.851,7.882,8.998,8.887,9.611,9.167,9.491,8.848,9.737,8.936,9.279,9.894,8.984,8.654,9.232,8.493,9.294,9.268,9.037,9.377,9.289,9.012,9.645,9.905,9.509,9.658,8.792,10.390,10.484,10.227
TMIN,AMJJAS,8.969,9.775,10.203,10.349,8.687,9.486,9.440,10.039,10.091,9.960,9.969,9.803,10.337,10.013,10.616,10.006,9.250,10.253,10.227,11.062,10.571,10.106,9.988,11.567,10.212,10.516,11.133,10.524,10.049,10.883,10.021,10.689,10.490,10.160,10.489,10.820,10.700,10.764,11.543,10.562,11.132,10.338,11.486,11.720,11.229
TMIN,ONDJFM,0.767,1.189,2.385,2.335,1.413,1.214,0.848,1.443,3.156,2.653,3.159,2.225,1.505,2.360,2.891,3.495,2.624,2.502,2.961,2.089,2.275,4.029,2.775,2.798,2.229,1.975,1.794,4.053,2.322,1.556,2.014,2.062,2.716,2.408,3.643,3.444,3.695,2.583,2.687,3.232,4.281,3.300,2.707,4.223,4.710
TMIN,NDJF,0.290,-0.935,1.487,1.209,0.585,-0.082,-0.689,-0.102,2.060,0.909,2.168,-0.082,0.004,1.770,1.482,3.108,1.248,1.128,1.973,0.519,0.911,2.738,0.694,1.551,1.588,0.266,-0.353,2.859,1.229,0.192,0.849,0.731,1.392,1.102,2.317,1.999,3.460,1.115,1.362,2.071,3.216,2.545,1.615,2.509,3.450
TAVG,year,9.365,10.145,10.867,10.593,9.751,9.662,10.032,10.025,10.739,11.295,11.225,10.271,10.601,10.241,11.477,10.896,9.963,11.289,10.585,10.950,11.163,10.788,11.206,11.622,10.645,10.562,11.365,10.929,10.572,11.083,9.909,11.713,10.895,10.395,11.712,11.665,11.145,11.367,11.957,11.733,12.194,10.939,12.687,12.422,12.012
TAVG,MAMJJASO,12.317,13.419,13.610,13.739,12.356,13.240,13.272,13.372,13.564,14.303,14.279,13.684,13.536,13.164,14.184,13.798,12.913,14.310,13.698,14.354,13.966,14.209,13.707,15.330,13.868,14.396,14.837,13.813,13.359,14.467,13.498,14.667,14.310,13.681,14.389,14.537,14.000,14.903,15.180,14.874,14.978,13.842,16.078,15.689,14.888
TAVG,AMJJAS,13.892,14.696,15.534,15.482,13.959,14.998,14.698,15.120,15.101,15.578,15.588,15.204,15.464,14.962,15.540,15.172,14.557,15.721,15.323,16.041,15.676,15.135,15.028,17.487,15.471,15.914,16.456,15.593,15.087,16.347,15.330,16.320,15.631,15.188,15.604,16.463,15.961,16.257,17.226,16.318,16.973,15.453,17.559,17.159,16.185
TAVG,ONDJFM,4.164,4.861,5.911,5.777,5.231,4.907,4.630,5.019,6.491,6.717,7.459,5.700,5.180,5.929,6.141,6.977,6.112,6.171,6.780,5.481,5.852,7.171,6.463,6.439,5.768,5.408,5.115,7.631,5.975,5.063,5.468,5.552,6.635,5.639,7.156,6.864,7.267,6.332,6.072,7.085,7.714,6.794,6.521,7.813,8.237
TAVG,NDJF,3.522,2.584,4.828,4.430,4.036,3.481,2.544,3.219,5.288,4.698,6.042,3.135,3.567,5.132,4.503,6.234,4.294,4.296,5.440,3.718,4.188,5.745,4.042,4.580,4.877,3.316,2.708,6.222,4.833,3.264,3.858,3.787,4.672,4.111,5.410,5.004,6.790,4.524,4.382,5.477,6.409,5.722,4.937,5.725,6.532
RH,year,79.994,80.062,78.652,78.526,78.129,77.419,79.049,80.613,80.863,76.157,76.794,77.900,80.414,78.724,80.268,78.546,78.676,77.457,77.359,79.131,78.404,78.536,78.414,73.896,77.685,76.677,77.120,78.580,78.907,76.676,77.781,76.455,76.588,78.662,78.168,75.558,77.705,76.050,76.802,74.472,74.962,77.647,73.668,75.760,79.553
RH,MAMJJASO,78.459,78.974,75.652,76.744,75.376,75.022,76.879,78.213,79.275,73.491,73.432,75.385,78.755,76.698,77.582,76.066,75.173,74.113,75.114,76.833,75.811,76.465,75.582,69.590,74.460,73.585,74.108,76.316,76.647,73.396,73.963,72.558,73.628,76.213,74.853,72.031,74.601,72.775,73.023,70.682,71.118,74.357,69.220,72.581,77.332
RH,AMJJAS,76.966,77.712,73.631,75.592,73.925,74.125,75.226,77.116,78.338,72.650,72.192,72.997,77.103,76.142,76.522,74.814,73.896,73.444,74.054,75.583,74.542,74.414,74.894,67.633,72.797,71.892,72.052,75.147,75.239,72.658,73.216,71.065,72.959,74.589,74.146,69.429,72.999,71.158,71.186,68.825,68.447,73.816,67.410,71.612,75.508
RH,ONDJFM,83.015,82.190,82.275,83.625,81.076,82.514,81.240,83.083,84.303,81.854,78.934,83.199,82.370,82.307,83.612,83.263,82.725,82.277,80.533,82.767,82.120,83.418,80.782,80.823,81.994,82.261,82.734,82.216,80.959,82.123,81.578,82.399,79.738,83.190,81.582,82.607,82.328,81.247,82.149,79.264,81.566,81.702,80.285,80.895,81.629
RH,NDJF,83.507,82.093,83.240,83.777,82.815,82.987,83.036,84.251,84.954,83.494,81.074,84.161,82.508,83.451,84.851,85.239,84.338,84.666,83.105,83.471,83.641,83.431,82.238,83.819,83.553,83.694,84.207,83.384,81.433,84.357,84.682,84.955,82.707,84.680,83.520,84.328,83.513,82.462,83.801,82.208,83.070,83.779,83.130,82.815,83.709
RHmin,year,61.243,61.320,60.103,59.047,59.537,57.933,59.962,61.938,61.781,56.034,57.725,58.741,61.086,59.575,61.206,59.041,59.569,57.264,57.783,59.726,59.154,59.244,59.127,54.401,58.391,57.085,57.424,58.501,59.054,56.633,58.662,56.303,57.087,59.519,58.404,55.789,57.747,56.027,57.269,55.167,55.590,57.738,53.925,56.187,59.765
RHmin,MAMJJASO,58.830,59.607,55.971,56.594,55.804,54.521,56.779,58.411,59.242,53.154,53.391,55.587,58.779,56.800,57.288,55.462,54.661,52.798,55.444,56.277,55.566,56.318,55.217,49.295,54.289,53.133,53.840,55.253,55.997,52.334,53.585,51.450,53.144,56.116,53.542,51.779,53.917,51.837,52.097,50.700,51.257,53.249,48.873,51.811,56.693
RHmin,AMJJAS,57.137,57.851,53.595,55.519,54.428,53.556,55.164,56.715,57.830,52.398,52.050,52.923,56.364,55.796,56.226,54.374,53.352,52.264,54.022,54.936,54.004,54.323,54.459,47.444,52.408,51.497,51.567,54.126,54.310,51.511,52.633,50.053,52.554,54.222,53.154,49.231,52.444,50.358,50.062,48.468,48.245,53.078,47.016,50.661,54.756
RHmin,ONDJFM,65.925,64.162,64.791,66.298,62.620,64.391,63.239,65.371,67.426,62.408,59.327,65.692,63.706,64.359,66.474,65.141,64.387,63.634,61.195,64.686,63.422,66.261,61.622,62.610,63.377,63.918,64.216,63.255,61.277,63.445,63.483,64.043,60.459,65.367,63.088,64.229,63.190,61.231,63.982,60.457,63.404,63.520,60.592,62.227,63.388
RHmin,NDJF,66.760,64.613,66.162,67.383,65.335,65.292,66.718,67.302,68.388,64.443,62.081,67.316,64.106,65.779,68.250,68.297,67.528,67.323,64.232,65.865,65.959,66.957,63.964,67.058,65.548,66.279,66.262,65.049,61.990,66.631,67.889,67.676,64.817,67.701,66.171,67.403,65.056,63.148,66.998,64.111,65.394,66.223,64.332,65.097,66.655
PREC,year,907.337,1042.941,966.815,876.097,989.849,729.266,941.607,928.245,980.889,686.126,849.045,749.483,985.065,973.866,1062.581,988.901,982.744,867.105,879.534,1069.161,1049.099,977.642,1009.775,787.387,853.056,719.958,861.730,882.522,1036.350,849.502,920.776,771.198,903.904,1048.212,1021.501,751.475,929.362,796.358,988.094,940.933,871.398,912.119,689.234,942.835,1079.509
PREC,MAMJJASO,617.587,671.360,585.327,623.252,592.278,481.574,576.056,670.970,647.470,452.496,509.922,505.380,723.538,727.588,672.612,562.248,497.275,488.799,644.116,680.805,672.064,717.638,596.090,466.453,566.103,487.972,609.126,586.105,703.027,480.929,556.511,451.941,612.564,685.093,564.889,503.984,556.074,472.547,589.100,535.660,575.618,570.103,419.127,607.648,789.882
PREC,AMJJAS,404.360,441.945,360.807,501.028,431.489,373.905,422.545,450.972,433.602,356.971,357.183,343.296,503.245,567.504,536.109,426.074,390.439,420.154,485.774,503.339,486.809,469.998,443.407,305.473,378.068,372.810,403.257,471.535,497.286,368.508,391.340,333.881,475.346,484.826,444.229,376.653,409.735,356.826,378.156,345.626,371.628,453.719,319.149,388.114,516.771
PREC,ONDJFM,241.408,501.332,564.537,589.911,459.260,488.319,434.153,420.246,648.846,342.508,365.792,479.673,373.073,415.454,588.171,597.239,469.214,497.666,456.314,493.157,485.650,718.495,371.750,546.280,540.436,380.047,454.058,459.317,413.566,487.784,514.211,458.572,389.326,579.567,600.114,505.059,466.035,418.806,564.092,426.707,642.550,504.564,390.279,415.006,670.820
PREC,NDJF,145.194,283.943,355.083,383.108,333.411,307.819,337.455,277.445,377.658,192.522,305.073,266.853,216.814,244.983,412.521,412.676,380.420,416.793,360.792,294.258,331.854,424.625,238.011,412.673,355.269,205.796,260.853,293.508,274.126,335.459,385.103,299.517,305.259,373.487,449.174,372.156,318.621,264.487,419.671,280.731,430.413,339.275,264.068,270.561,406.273
SRAD,year,4384.787,4349.260,4526.157,4502.312,4485.234,4635.468,4495.422,4354.895,4372.485,4761.435,4675.250,4555.935,4332.811,4370.236,4381.573,4482.193,4452.206,4703.127,4531.138,4436.367,4471.480,4469.178,4420.417,4887.045,4628.486,4754.192,4693.557,4595.185,4504.667,4757.096,4596.951,4813.688,4690.000,4476.041,4639.368,4820.456,4539.331,4797.950,4717.063,4806.752,4837.581,4708.684,5045.906,4759.455,4458.486
SRAD,MAMJJASO,3777.171,3719.651,3966.474,3879.144,3910.095,4030.092,3897.366,3803.608,3754.757,4111.069,4077.996,3936.729,3720.453,3772.635,3824.788,3901.738,3919.274,4117.130,3869.513,3857.035,3882.342,3860.229,3857.908,4259.009,4025.739,4109.902,4062.228,3967.858,3864.683,4159.324,4048.396,4212.508,4043.017,3886.044,4091.663,4176.124,3933.233,4177.389,4139.420,4150.086,4179.481,4095.314,4379.555,4134.561,3857.670
SRAD,AMJJAS,3218.791,3179.150,3386.249,3243.707,3298.081,3390.831,3281.106,3252.608,3186.926,3429.822,3417.482,3382.089,3214.632,3171.511,3195.454,3246.034,3298.517,3411.560,3263.541,3244.118,3273.373,3292.566,3224.872,3570.543,3417.465,3461.931,3455.297,3318.417,3279.768,3472.290,3397.627,3531.294,3340.515,3313.473,3381.511,3564.808,3304.170,3503.259,3531.833,3486.419,3565.613,3366.077,3716.446,3485.503,3266.523
SRAD,ONDJFM,632.205,1197.004,1173.497,1141.596,1261.184,1184.751,1227.744,1182.769,1127.755,1277.301,1333.960,1172.681,1202.693,1177.422,1127.545,1205.783,1214.380,1235.384,1301.827,1180.715,1240.797,1079.089,1274.369,1282.192,1237.578,1239.027,1225.583,1247.125,1318.083,1255.958,1213.339,1226.653,1409.290,1160.872,1240.670,1211.477,1240.718,1292.755,1207.575,1369.831,1254.688,1274.938,1361.948,1275.614,1224.105
SRAD,NDJF,335.251,627.336,591.301,573.288,607.078,606.310,571.075,578.228,595.905,638.818,635.990,602.889,644.582,590.596,558.501,563.427,566.225,565.120,633.997,600.974,606.155,557.109,619.231,587.890,618.050,617.309,619.802,621.369,699.922,598.900,551.250,571.202,658.429,579.475,574.889,572.749,626.100,645.141,584.715,661.257,625.775,629.895,668.999,635.924,582.459
