Variable,Season,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
TMAX,year,18.152,19.079,18.539,18.924,17.578,18.822,18.321,18.836,18.552,19.443,19.194,18.390,18.363,17.710,19.385,19.629,18.179,19.283,19.025,18.716,18.908,18.919,18.803,19.276,18.853,19.241,19.669,18.885,18.519,19.718,18.343,19.894,19.422,18.586,19.414,20.179,19.548,20.673,19.003,20.006,20.028,19.572,21.015,20.850,20.460
TMAX,MAMJJASO,21.784,22.340,22.203,22.490,21.060,22.790,22.146,22.714,22.039,23.012,22.983,22.272,21.764,20.969,22.997,23.138,21.841,23.021,22.438,22.646,22.492,22.989,22.023,23.531,22.486,23.657,23.883,22.244,21.931,23.838,22.491,23.751,23.387,22.296,23.339,23.822,23.216,24.892,22.566,23.667,23.384,23.325,24.538,24.901,23.691
TMAX,AMJJAS,23.763,23.886,24.367,23.800,23.138,24.710,24.035,24.968,23.491,24.435,25.017,24.797,24.000,23.149,24.630,24.647,23.683,23.985,23.965,24.807,24.303,24.690,23.704,25.929,24.594,25.829,25.934,24.150,23.796,25.424,24.781,25.737,25.185,24.267,24.892,26.017,25.305,26.528,24.986,25.279,25.627,25.025,26.751,26.608,25.849
TMAX,ONDJFM,11.455,13.011,14.137,12.716,12.880,12.353,12.821,13.067,12.999,14.114,14.575,11.946,12.508,12.861,12.729,14.166,13.601,14.274,14.277,13.122,13.235,13.158,13.422,13.103,12.760,12.844,12.545,13.904,14.133,12.635,12.970,12.753,14.471,12.655,13.500,13.814,14.329,14.317,13.635,14.699,14.601,13.804,14.365,15.307,15.411
TMAX,NDJF,10.699,10.824,12.613,10.667,11.224,10.680,10.272,10.865,11.354,11.897,12.596,9.954,10.966,11.795,10.922,12.680,11.468,11.661,11.816,11.392,11.256,11.183,11.202,10.822,11.673,10.579,10.120,12.113,12.696,10.201,10.715,11.047,11.826,11.039,11.217,11.148,13.459,12.047,11.515,12.956,12.902,12.132,13.008,12.710,13.732
TMIN,year,6.595,7.226,7.465,7.287,6.413,7.033,6.893,7.715,7.250,8.124,7.652,6.958,6.832,6.482,7.488,7.900,7.285,8.159,7.337,7.290,7.239,7.575,7.698,8.000,7.203,6.959,8.083,6.986,7.114,7.722,7.372,8.070,7.263,7.261,8.110,8.030,7.915,7.871,7.784,7.696,8.330,7.838,8.857,8.577,8.636
TMIN,MAMJJASO,9.198,9.917,9.752,9.819,8.623,9.597,9.559,10.306,9.669,10.386,10.407,9.696,9.494,8.962,9.923,10.000,9.426,10.464,9.885,10.375,9.751,10.542,9.779,10.851,9.800,10.281,11.039,9.514,9.527,10.331,9.979,10.605,10.084,9.940,10.467,10.666,10.191,10.779,10.347,10.131,10.617,10.218,11.456,11.511,10.817
TMIN,AMJJAS,10.525,10.991,11.355,11.075,10.203,11.140,10.762,11.743,11.041,11.655,11.794,11.143,11.049,10.422,10.996,11.241,10.851,11.545,11.356,11.790,11.201,11.282,10.836,12.331,11.176,11.723,12.188,10.951,10.959,11.587,11.616,12.046,11.556,10.911,11.577,12.071,11.629,12.072,11.917,11.442,12.262,11.618,12.561,12.687,11.922
TMIN,ONDJFM,2.000,2.372,4.098,2.655,3.304,2.832,3.119,3.165,3.947,3.202,5.082,2.910,2.113,2.924,3.063,4.017,4.648,4.044,4.806,2.319,2.863,4.501,3.355,4.122,3.616,2.178,2.996,4.421,3.131,2.759,3.983,3.321,3.080,3.918,3.871,3.962,4.554,4.025,3.263,3.661,4.785,4.095,3.819,4.985,5.426
TMIN,NDJF,1.514,0.330,3.333,1.208,2.538,2.160,1.778,1.428,3.186,1.504,4.395,0.941,0.856,1.906,1.833,3.017,3.672,3.167,3.541,0.896,1.138,3.187,1.304,2.762,2.693,0.259,0.993,3.217,1.998,1.288,2.717,2.184,1.642,2.642,2.401,2.204,3.935,2.548,1.619,2.568,3.755,3.439,2.375,3.256,4.114
TAVG,year,12.348,13.113,12.953,13.073,11.974,12.918,12.599,13.258,12.889,13.776,13.419,12.662,12.594,12.090,13.406,13.740,12.714,13.694,13.146,12.966,13.050,13.231,13.230,13.620,13.006,13.075,13.863,12.924,12.754,13.672,12.819,13.942,13.310,12.889,13.730,14.074,13.703,14.249,13.365,13.829,14.150,13.674,14.910,14.683,14.531
TAVG,MAMJJASO,15.435,16.066,15.902,16.099,14.804,16.162,15.820,16.472,15.819,16.673,16.677,15.961,15.608,14.949,16.421,16.532,15.605,16.709,16.119,16.472,16.098,16.746,15.881,17.170,16.122,16.943,17.446,15.865,15.664,17.034,16.195,17.142,16.706,16.086,16.868,17.217,16.677,17.815,16.430,16.877,16.971,16.739,17.974,18.175,17.238
TAVG,AMJJAS,17.066,17.371,17.773,17.375,16.616,17.878,17.353,18.307,17.228,18.013,18.380,17.933,17.499,16.761,17.770,17.904,17.236,17.724,17.613,18.253,17.727,17.970,17.250,19.113,17.865,18.753,19.046,17.539,17.314,18.458,18.164,18.859,18.344,17.559,18.203,19.019,18.442,19.284,18.430,18.342,18.917,18.292,19.636,19.618,18.872
TAVG,ONDJFM,6.753,7.704,9.108,7.661,8.110,7.613,7.996,8.150,8.475,8.680,9.844,7.443,7.327,7.909,7.898,9.067,9.130,9.145,9.520,7.700,8.020,8.808,8.370,8.596,8.164,7.486,7.757,9.154,8.587,7.644,8.434,7.991,8.732,8.251,8.652,8.854,9.407,9.141,8.417,9.152,9.659,8.920,9.058,10.115,10.386
TAVG,NDJF,6.135,5.604,7.993,5.914,6.914,6.443,6.062,6.186,7.291,6.739,8.517,5.468,5.934,6.875,6.384,7.826,7.589,7.402,7.656,6.125,6.162,7.169,6.237,6.780,7.160,5.397,5.545,7.658,7.311,5.697,6.682,6.569,6.689,6.807,6.778,6.647,8.663,7.267,6.540,7.737,8.298,7.759,7.657,7.954,8.893
RH,year,68.032,65.820,68.866,67.762,68.606,66.457,67.514,68.496,69.054,67.333,67.286,66.955,66.647,68.133,65.710,64.761,67.901,67.380,65.784,66.021,65.396,65.714,67.171,66.693,66.749,63.140,65.238,65.272,67.098,63.730,66.753,65.250,62.135,66.133,66.423,63.148,65.784,60.704,67.967,62.109,66.470,65.578,62.544,62.007,65.715
RH,MAMJJASO,63.959,62.843,63.242,62.934,63.647,60.939,62.767,62.763,64.849,62.384,62.198,62.171,62.301,63.773,60.352,59.042,62.335,61.454,61.594,61.953,60.628,61.014,62.474,61.045,61.972,58.232,59.734,61.363,62.394,57.137,60.809,59.639,56.816,61.983,60.201,58.279,59.510,55.292,63.630,56.876,61.511,60.115,57.600,56.808,60.679
RH,AMJJAS,61.458,60.955,61.035,61.722,61.365,59.696,59.341,59.334,64.106,60.868,59.964,57.815,59.448,61.085,56.731,57.276,60.124,61.161,60.533,59.034,58.815,57.229,59.445,57.381,59.238,55.180,56.269,59.505,60.226,54.966,58.363,57.442,54.611,58.030,58.034,54.674,56.237,52.925,60.824,55.018,58.800,58.388,53.402,54.554,55.885
RH,ONDJFM,76.690,71.192,73.094,75.362,75.088,75.829,73.566,75.735,76.846,72.730,74.482,76.958,72.731,73.952,75.477,74.235,75.242,72.758,74.154,70.659,72.367,75.267,72.792,75.378,76.761,71.002,73.973,73.470,70.700,74.392,74.678,74.131,67.051,76.795,73.196,72.767,74.145,73.260,70.428,69.309,74.266,73.857,71.212,70.237,73.190
RH,NDJF,78.325,72.354,76.111,78.083,78.599,79.514,77.687,77.468,80.116,75.027,79.132,77.802,74.405,75.414,77.655,76.572,78.918,78.674,78.565,72.335,74.433,77.397,74.011,78.040,78.144,73.470,75.947,76.565,72.591,78.089,78.374,76.387,72.198,78.080,76.015,76.079,75.593,76.195,72.468,72.519,76.674,78.019,71.214,74.388,75.199
RHmin,year,49.128,47.138,50.428,48.884,50.264,47.905,49.138,50.332,50.317,49.309,48.791,48.792,48.313,49.686,47.311,46.867,50.310,49.609,47.455,47.932,47.368,48.004,49.511,49.070,48.292,44.946,47.553,46.854,48.833,46.091,49.521,47.378,44.804,48.518,48.864,45.401,48.121,42.922,49.964,44.611,48.429,47.666,45.280,44.562,47.752
RHmin,MAMJJASO,45.153,44.571,44.624,44.267,45.227,42.377,44.517,44.675,46.089,44.034,44.100,44.220,44.637,45.885,42.362,41.036,44.221,43.494,43.684,44.359,42.926,43.570,44.834,43.524,43.902,40.615,42.354,43.307,44.429,39.762,43.403,41.983,40.009,44.591,42.483,41.150,42.112,37.924,45.823,39.620,43.802,42.197,41.004,39.947,43.240
RHmin,AMJJAS,42.748,42.868,42.578,43.590,43.200,41.280,41.486,41.416,45.743,42.973,41.838,39.907,41.904,43.152,39.342,39.687,42.338,43.502,43.068,41.499,41.411,39.809,42.096,39.954,41.226,37.796,38.904,41.700,42.636,38.020,41.057,39.857,38.338,40.653,40.573,37.779,39.252,36.084,42.873,38.177,41.429,40.892,36.844,37.826,38.716
