Variable,Season,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
TMAX,year,11.377,12.055,13.209,13.263,11.753,11.613,12.135,11.290,12.885,13.866,13.719,12.653,13.490,12.624,13.860,12.936,11.162,13.228,13.009,13.615,13.943,13.026,13.571,14.245,12.974,13.272,13.847,14.024,13.604,13.467,11.909,14.330,13.451,12.678,14.661,14.468,13.779,13.832,15.299,14.862,14.982,13.414,15.340,14.985,15.132
TMAX,MAMJJASO,15.411,16.711,17.573,17.616,15.529,16.397,16.488,15.592,16.654,17.888,17.593,17.033,17.633,16.853,17.713,17.353,15.780,17.534,16.929,18.063,17.841,17.321,17.480,19.011,17.322,17.908,18.256,18.061,17.338,18.074,16.993,18.689,18.090,16.911,18.660,18.117,17.982,18.357,20.163,19.051,18.830,17.510,19.706,19.150,19.384
TMAX,AMJJAS,17.489,18.678,19.895,20.005,17.342,18.673,18.535,18.012,19.112,19.445,19.064,18.857,20.422,19.253,19.894,19.295,18.052,19.689,19.207,20.379,20.049,19.028,19.681,21.925,19.403,19.909,20.778,20.258,19.704,20.920,19.255,20.850,19.969,19.507,20.141,20.557,20.784,20.025,23.167,21.166,21.293,19.416,21.526,21.259,21.374
TMAX,ONDJFM,4.013,5.556,5.218,6.961,5.844,4.958,4.875,5.038,6.682,7.870,8.774,6.758,6.666,6.281,6.337,7.539,4.661,6.208,7.508,6.074,6.914,7.570,7.819,6.392,6.506,6.327,5.541,9.693,7.215,5.845,5.589,5.963,7.628,5.313,8.838,7.901,8.256,6.999,6.789,8.733,8.881,7.698,8.263,8.811,9.354
TMAX,NDJF,2.501,2.728,2.783,5.159,3.844,2.319,2.259,3.067,5.271,5.446,6.508,3.577,4.619,4.820,4.091,6.378,1.650,3.340,5.988,3.799,4.931,5.839,4.916,3.811,5.180,3.879,2.926,7.681,5.747,3.537,3.293,3.187,4.814,3.669,6.333,5.382,7.428,4.477,4.799,6.311,7.104,5.743,5.968,6.357,6.913
TMIN,year,3.742,4.283,4.685,4.846,4.182,3.396,3.852,3.655,5.178,5.162,5.200,4.077,5.113,4.434,5.680,4.812,3.277,4.621,5.126,5.374,5.842,5.044,5.522,4.619,4.663,4.539,5.056,5.351,5.010,4.579,3.455,4.932,4.480,4.485,5.838,5.229,5.068,5.104,5.499,5.373,5.436,4.685,5.455,6.036,6.354
TMIN,MAMJJASO,6.681,7.836,7.732,8.009,6.720,7.140,7.091,6.757,7.596,7.885,7.598,7.149,7.789,7.361,8.137,7.932,6.593,7.419,8.034,8.372,8.453,8.211,8.171,7.801,7.494,7.520,8.077,7.715,7.451,7.675,6.975,7.577,7.494,7.108,8.269,7.302,7.879,8.093,8.258,8.057,7.539,7.302,7.834,8.458,9.060
TMIN,AMJJAS,8.174,9.094,9.210,9.618,8.221,8.784,8.633,8.841,9.134,9.034,8.699,8.454,9.719,9.197,9.806,9.396,8.299,8.927,9.603,9.999,9.748,9.288,9.938,9.998,9.026,9.085,9.864,9.390,9.066,9.473,8.743,9.392,8.984,9.043,9.494,8.925,9.690,9.212,10.426,9.274,8.910,8.962,9.314,9.736,10.463
TMIN,ONDJFM,-2.112,-0.448,-1.162,1.155,-0.685,-1.385,-1.528,-1.635,1.309,1.606,1.518,0.220,0.251,-0.142,0.572,1.044,-1.514,-0.090,0.890,0.326,1.018,1.569,1.135,-0.383,-0.047,-0.030,-0.983,2.790,0.718,-0.433,-0.719,-0.874,0.279,-0.696,1.648,1.529,1.641,0.112,0.703,1.302,1.932,0.881,1.089,1.963,2.627
TMIN,NDJF,-3.264,-2.690,-3.096,-0.248,-1.848,-3.761,-3.451,-2.768,0.615,0.126,-0.060,-1.843,-0.943,-0.834,-1.088,0.863,-3.701,-2.102,0.106,-1.474,-0.347,0.168,-0.835,-1.987,-0.536,-1.427,-2.585,1.824,-0.067,-2.067,-2.114,-2.264,-1.251,-1.226,0.482,0.139,1.281,-1.691,-0.374,0.023,1.087,-0.361,0.614,0.531,1.292
TAVG,year,7.399,8.012,8.726,8.883,7.745,7.283,7.816,7.272,8.855,9.282,9.251,8.228,9.142,8.341,9.591,8.701,7.033,8.706,8.870,9.296,9.678,8.884,9.383,9.282,8.717,8.835,9.384,9.657,9.261,9.010,7.718,9.525,8.947,8.572,10.163,9.844,9.354,9.417,10.357,10.101,10.238,8.960,10.403,10.494,10.696
TAVG,MAMJJASO,10.808,12.030,12.388,12.576,10.847,11.447,11.527,10.879,11.904,12.640,12.333,11.928,12.519,11.859,12.689,12.397,10.952,12.171,12.243,12.944,12.867,12.558,12.605,13.235,12.255,12.584,13.065,12.828,12.323,12.830,11.955,13.019,12.735,11.964,13.334,12.707,12.823,13.155,14.163,13.549,13.232,12.269,13.765,13.747,14.144
TAVG,AMJJAS,12.620,13.636,14.340,14.597,12.540,13.437,13.358,13.127,13.911,14.058,13.693,13.572,14.930,14.012,14.665,14.155,13.004,14.064,14.154,14.971,14.642,14.002,14.603,15.851,14.078,14.410,15.233,14.798,14.331,15.145,14.005,15.047,14.455,14.250,14.721,14.785,15.136,14.575,16.796,15.261,15.182,14.075,15.486,15.476,15.855
TAVG,ONDJFM,0.792,2.485,1.875,3.916,2.407,1.619,1.551,1.561,3.846,4.555,4.855,3.298,3.271,2.896,3.303,4.132,1.385,2.869,3.993,3.069,3.811,4.383,4.333,2.856,3.111,3.103,2.226,6.196,3.913,2.704,2.488,2.539,3.840,2.320,5.175,4.664,4.907,3.503,3.692,4.916,5.378,4.222,4.617,5.356,5.979
TAVG,NDJF,-0.468,0.059,-0.208,2.409,0.913,-0.801,-0.578,0.115,2.848,2.692,3.017,0.816,1.749,1.906,1.428,3.612,-1.097,0.554,2.921,1.123,2.256,2.887,2.035,0.850,2.248,1.236,0.216,4.784,2.822,0.783,0.691,0.554,1.715,1.320,3.391,2.778,4.368,1.358,2.209,3.102,4.112,2.666,3.310,3.488,4.160
