Variable,Season,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
TMAX,year,14.442,15.441,15.156,15.829,15.045,15.377,15.633,15.118,15.522,16.201,16.753,14.537,16.112,16.033,17.162,15.548,14.820,14.905,15.689,16.435,16.992,16.495,16.476,16.097,16.413,15.539,16.292,17.675,17.233,16.991,16.659,16.301,17.507,17.459,16.846,17.620,17.664,17.538,17.526,18.355,18.222,17.207,18.178,18.834,19.325
TMAX,MAMJJASO,19.246,20.685,19.906,20.814,19.876,20.594,20.978,19.848,20.624,20.695,21.392,19.442,21.099,21.238,22.278,20.374,19.593,19.113,20.749,21.254,22.003,21.999,20.886,21.370,21.067,20.195,21.287,22.542,22.308,21.698,21.036,21.265,23.792,22.317,21.212,21.734,22.407,22.793,22.772,23.035,22.799,21.312,22.426,23.103,24.229
TMAX,AMJJAS,21.356,22.356,22.472,23.017,22.074,23.788,24.056,23.392,23.407,22.694,23.015,21.674,23.195,23.680,24.768,22.693,23.084,21.651,23.457,23.730,24.696,23.616,22.956,24.456,23.093,22.673,23.616,25.283,24.307,24.441,24.087,24.112,26.176,24.955,23.346,24.822,25.253,24.971,25.428,24.672,24.908,24.459,25.194,24.856,26.711
TMAX,ONDJFM,3.557,8.541,7.894,9.564,7.038,6.996,8.058,6.555,8.520,8.560,9.616,8.770,7.934,8.562,9.662,9.065,5.593,8.914,8.427,7.675,8.580,10.846,9.541,7.561,8.826,9.407,8.177,11.272,8.749,9.494,9.310,9.253,7.799,10.113,11.024,9.062,11.463,8.990,10.241,10.328,12.439,10.679,9.628,12.226,13.306
TMAX,NDJF,1.424,5.094,4.905,7.043,4.838,3.599,6.055,4.691,6.833,5.616,6.395,6.233,5.117,5.860,6.169,6.749,3.331,7.330,6.939,4.300,5.745,8.304,6.082,4.889,6.420,6.888,5.437,9.277,5.380,6.951,7.001,7.880,4.646,7.004,8.602,7.049,10.178,5.856,8.082,6.727,10.051,8.545,8.670,10.034,10.690
TMIN,year,5.148,5.593,5.578,5.477,5.728,5.143,5.396,5.179,5.574,5.654,5.978,5.343,5.490,5.191,6.918,5.693,5.630,5.077,6.111,6.870,6.260,6.367,6.581,5.302,5.741,5.756,5.932,6.798,6.518,6.593,6.702,5.749,6.434,6.787,7.282,7.046,6.732,6.294,7.236,7.450,7.260,6.753,7.029,7.995,8.462
TMIN,MAMJJASO,8.884,9.483,9.424,9.279,9.002,9.143,9.347,8.522,9.465,9.497,9.369,9.368,9.406,9.395,10.754,9.297,9.199,8.225,10.067,10.737,9.913,10.586,10.360,9.224,9.546,9.447,10.005,10.389,10.317,10.061,10.302,9.703,11.104,10.272,10.555,10.520,10.655,10.255,11.126,10.677,10.595,9.773,10.080,11.289,12.174
TMIN,AMJJAS,10.671,10.965,11.400,11.539,10.684,11.498,11.530,11.251,11.768,11.256,11.128,11.128,11.169,11.183,12.770,11.439,11.663,10.530,12.422,12.778,12.183,12.114,12.205,11.899,11.278,11.713,11.923,12.344,12.176,12.024,12.711,12.044,13.280,12.483,12.408,12.583,12.740,12.175,13.418,12.490,12.272,12.201,12.556,13.056,14.345
TMIN,ONDJFM,-3.581,0.429,-0.433,0.502,-0.355,-1.073,0.237,-2.003,0.835,-0.614,-0.283,0.317,-0.548,-0.891,1.002,0.601,-1.500,0.393,-0.112,0.103,0.013,2.236,-0.026,-1.104,-0.603,0.380,-0.563,1.874,0.124,0.862,0.949,0.548,-1.566,1.358,1.773,1.317,1.950,-0.518,1.206,1.046,2.603,2.009,0.712,2.814,3.330
TMIN,NDJF,-5.281,-1.897,-2.560,-1.372,-1.666,-3.753,-0.888,-3.290,-0.339,-2.869,-2.465,-1.413,-2.669,-3.263,-1.291,-1.277,-2.915,-0.840,-0.768,-2.320,-1.916,0.579,-2.807,-2.728,-2.507,-1.328,-2.669,0.319,-2.395,-0.694,-0.790,-0.700,-3.838,-0.543,0.209,-0.198,0.411,-3.214,-0.000,-1.021,1.233,0.831,0.100,1.700,1.488
