Variable,Season,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
TMAX,year,8.142,8.659,9.304,9.968,9.334,7.385,8.762,7.183,9.325,10.804,10.290,9.878,10.058,8.767,9.099,9.950,8.695,9.652,9.079,10.520,10.753,9.778,10.240,9.503,9.605,9.832,10.532,10.576,10.449,9.391,8.818,10.696,8.894,10.474,10.589,11.043,10.018,9.630,10.823,11.049,11.556,10.103,10.634,10.744,11.726
TMAX,MAMJJASO,13.161,13.317,13.661,14.580,14.143,13.278,13.889,12.127,14.356,15.032,14.235,13.922,14.187,13.220,14.112,14.834,13.872,14.167,13.717,15.491,14.931,14.979,15.613,14.136,14.434,14.426,15.366,15.582,14.402,14.097,15.161,15.587,14.184,14.858,15.609,14.820,15.015,13.650,16.179,15.451,15.302,15.333,15.321,15.761,16.876
TMAX,AMJJAS,16.262,16.124,16.170,17.744,16.974,15.827,16.536,14.842,17.457,17.757,16.609,16.399,17.382,16.003,17.303,17.384,16.692,17.256,16.487,18.599,17.449,17.968,19.282,17.073,17.209,17.643,18.747,17.937,16.871,17.392,18.640,18.689,16.972,18.422,18.352,17.164,18.314,16.232,19.829,18.328,17.513,18.051,17.756,19.114,19.686
TMAX,ONDJFM,-3.645,1.275,1.182,2.881,1.723,-0.670,0.685,-0.588,1.742,3.363,3.668,2.505,4.288,2.173,-0.337,2.705,0.161,2.896,1.853,1.077,3.115,3.357,2.858,-0.601,2.001,1.779,1.215,4.342,3.613,2.765,-0.497,0.032,2.749,0.683,3.903,3.756,3.359,2.277,1.780,3.152,5.302,3.164,3.430,3.042,1.961
TMAX,NDJF,-5.110,-0.307,-1.727,1.828,0.028,-4.100,-2.508,-2.869,-0.042,1.290,1.857,0.736,2.677,1.382,-2.748,1.128,-3.062,1.067,0.602,-1.648,1.550,1.656,0.142,-2.965,0.295,0.702,-0.928,1.638,2.239,0.898,-3.026,-2.582,0.609,-0.793,1.671,1.730,1.767,0.590,0.580,0.928,4.046,0.872,1.034,0.834,-0.615
TMIN,year,0.661,1.806,1.849,2.616,2.240,0.109,1.337,-0.268,2.220,3.779,3.265,2.912,2.952,1.639,1.594,2.571,0.539,2.028,1.864,2.606,3.395,2.390,2.186,2.071,2.357,2.062,2.499,3.083,3.879,2.500,1.109,3.130,1.821,2.563,3.098,3.688,2.800,2.945,3.210,3.535,4.781,2.875,3.130,3.265,4.361
TMIN,MAMJJASO,4.716,5.379,5.185,6.215,5.852,5.684,5.689,3.962,6.217,6.860,5.998,5.838,5.831,4.869,5.443,6.465,4.513,5.360,5.428,6.248,5.981,6.500,5.924,5.547,6.135,5.101,5.762,6.845,6.350,5.838,6.414,6.889,6.116,5.323,6.513,5.957,6.422,5.634,6.774,6.502,7.022,7.060,6.326,6.592,8.052
TMIN,AMJJAS,7.475,7.821,6.995,8.519,8.096,7.409,7.535,6.632,8.709,8.499,7.524,7.583,8.008,6.811,7.751,7.906,6.764,7.651,7.936,8.176,7.634,8.889,8.462,8.056,8.177,8.021,8.355,8.430,7.768,8.106,9.364,9.274,8.106,8.591,8.470,7.978,8.821,7.263,9.582,8.294,8.512,9.110,8.244,8.784,10.089
TMIN,ONDJFM,-11.005,-4.271,-4.532,-2.447,-3.890,-6.368,-5.142,-7.127,-3.177,-2.142,-1.489,-2.417,-0.736,-2.816,-5.870,-1.954,-6.688,-2.821,-3.691,-4.708,-1.862,-1.761,-2.807,-6.616,-3.268,-3.947,-4.809,-1.413,-0.425,-1.736,-6.006,-5.942,-2.618,-5.164,-1.241,-1.261,-2.265,-2.305,-2.976,-1.896,0.722,-1.711,-2.414,-1.705,-2.968
TMIN,NDJF,-11.084,-5.371,-7.201,-3.076,-5.126,-10.056,-8.367,-8.841,-4.538,-3.916,-3.048,-4.007,-1.902,-3.228,-8.024,-3.279,-9.258,-4.452,-4.152,-6.961,-3.146,-2.388,-5.158,-8.436,-4.394,-4.149,-5.786,-3.632,-1.278,-3.270,-8.167,-8.001,-4.368,-5.532,-2.513,-2.429,-2.799,-3.662,-3.449,-3.428,0.261,-3.414,-3.959,-3.293,-5.031
TAVG,year,4.425,5.194,5.550,6.266,5.746,3.691,5.002,3.356,5.724,7.214,6.728,6.319,6.463,5.140,5.325,6.204,4.541,5.842,5.381,6.561,6.997,6.032,6.231,5.690,5.926,5.951,6.548,6.792,7.140,5.936,4.924,6.869,5.297,6.534,6.770,7.308,6.390,6.223,6.989,7.302,8.132,6.463,6.871,7.037,7.945
TAVG,MAMJJASO,8.868,9.187,9.299,10.286,9.894,9.307,9.648,7.821,10.165,10.801,10.019,9.741,9.899,8.927,9.693,10.505,9.053,9.699,9.385,10.812,10.288,10.597,10.739,9.677,10.095,9.715,10.549,11.081,10.317,9.906,10.652,11.148,10.048,10.037,10.934,10.245,10.608,9.502,11.403,10.900,11.074,11.098,10.718,11.180,12.292
TAVG,AMJJAS,11.791,11.779,11.459,12.989,12.383,11.412,11.893,10.512,12.965,12.995,11.970,11.871,12.613,11.282,12.466,12.483,11.541,12.409,12.002,13.357,12.353,13.218,13.903,12.401,12.494,12.786,13.514,13.062,12.280,12.671,13.821,13.867,12.433,13.388,13.289,12.440,13.474,11.616,14.640,13.244,12.935,13.512,12.925,13.975,14.727
TAVG,ONDJFM,-7.203,-1.360,-1.580,0.272,-0.967,-3.472,-2.139,-3.784,-0.761,0.579,1.101,0.068,1.721,-0.300,-3.096,0.360,-3.165,0.084,-0.875,-1.826,0.686,0.867,0.042,-3.617,-0.594,-0.960,-1.760,1.519,1.628,0.580,-3.167,-2.897,0.039,-2.154,1.352,1.251,0.626,0.001,-0.575,0.690,3.021,0.742,0.542,0.701,-0.515
TAVG,NDJF,-7.929,-2.614,-4.222,-0.506,-2.404,-7.002,-5.238,-5.680,-2.256,-1.215,-0.545,-1.522,0.449,-0.846,-5.347,-0.979,-6.041,-1.543,-1.676,-4.222,-0.666,-0.281,-2.383,-5.607,-1.919,-1.563,-3.258,-0.828,0.565,-1.058,-5.481,-5.192,-1.874,-3.087,-0.348,-0.248,-0.329,-1.410,-1.371,-1.069,2.228,-1.187,-1.283,-1.145,-2.731
RH,year,81.702,82.902,80.982,81.249,81.653,82.699,81.326,82.067,81.962,81.738,82.087,83.368,81.064,80.582,81.082,81.595,80.659,79.604,81.723,79.834,81.182,81.227,78.318,81.202,81.567,80.628,79.618,81.853,82.140,82.377,83.142,81.423,82.260,81.195,80.410,80.717,81.636,82.855,79.744,80.050,80.619,80.445,80.213,79.949,80.916
RH,MAMJJASO,78.615,80.444,78.080,79.019,79.221,80.804,79.086,79.724,80.074,79.134,78.599,81.184,77.723,78.394,77.861,79.289,77.437,75.820,78.841,76.005,77.823,78.635,74.335,78.007,77.914,77.327,75.516,78.435,78.906,78.827,79.915,78.054,79.621,77.358,76.206,77.249,78.012,79.471,75.463,76.017,77.122,76.881,75.964,75.318,77.715
RH,AMJJAS,77.929,79.510,76.182,77.267,77.719,79.314,77.742,79.150,78.238,76.879,77.235,79.540,75.320,76.603,76.163,77.195,75.737,73.571,78.432,73.666,76.511,77.380,72.079,77.252,75.359,76.308,72.148,75.858,76.350,76.408,77.867,76.856,77.278,76.774,75.182,76.675,76.872,77.256,73.061,73.018,75.663,75.346,74.638,72.769,75.687
RH,ONDJFM,83.346,85.446,87.034,86.070,83.916,86.480,85.886,84.840,86.151,85.601,86.363,87.169,87.372,86.115,85.092,86.022,84.590,85.223,86.659,85.876,85.035,85.723,85.777,83.011,87.981,85.831,85.514,87.732,88.182,88.315,88.841,86.375,86.699,86.258,85.942,85.221,86.103,86.794,87.363,87.168,85.792,86.859,84.077,87.732,86.485
RH,NDJF,88.227,86.975,88.114,86.638,84.718,86.779,86.906,86.371,86.413,86.397,88.296,88.307,87.859,86.857,86.022,87.368,86.057,86.838,88.739,87.965,86.462,88.052,87.160,85.388,88.990,88.300,87.064,88.306,88.933,89.612,89.474,89.061,87.933,88.967,88.143,88.820,88.536,88.816,89.570,88.427,87.844,88.130,87.691,89.346,88.104
