model,rmse_calibration,rmse_verification,rsq_calibration,rsq_verification
Artificial Neural Network,1.0889642726977427,1.1380503398543247,0.7509536984704647,0.7462108040017446
Bagged Classification and Regression Trees,0.4695066363397992,1.2467213914236979,0.9580854147127794,0.694430137887474
Bayesian Additive Regression Trees,0.9303136686052569,1.1193342761226026,0.8205176658986834,0.7534026920329333
Cubist Regression,0.9069906280484161,1.0686982537621184,0.8298725566307079,0.7754518676527649
Elastic Net Regression,1.1591728261858119,1.2272089628043978,0.7191424879347358,0.7053699990698574
Extreme Gradient Boosting,0.9260213012250315,1.1699507684368344,0.8231206479932165,0.7306320032342479
Generalized Linear Model,1.3823231912635905,1.30893233355065,0.5973226036148438,0.6639867170952842
Multivariate Adaptive Regression Splines,1.0919344561507656,1.0885043809288346,0.7487354590343489,0.7667147817629889
Random Forest,0.4517406895564752,1.1688574746293507,0.9644177581229975,0.7325054973749842
Support Vector Machine (Linear),1.4054722811555935,1.3633833745636006,0.5856153811575037,0.6431767918716252
Support Vector Machine (Polynomial),1.1513235937999555,1.1825921736488707,0.7209695302627677,0.7261696753470583
Support Vector Machine (Radial),1.3948087826980755,1.3352074948938188,0.5910261702479155,0.6532600418792177
ensemble,0.8744897014603672,1.116152817609276,0.873929877035924,0.7759579945034025
