model,calibration,verification
CART_bagged,0.42,0.92
Cubist,0.79,0.92
MARS,0.92,0.91
RF,0.84,0.9
SVM_poly,0.99,0.88
SVM_radial,0.98,0.92
bart,0.86,0.88
boosting,0.75,0.9
full_quad_linear_reg,0.97,0.92
glm,0.97,0.89
neural_network,0.89,0.91
svm_linear,0.99,0.88
ensemble,0.94,0.88
