model,rmse_calibration,rmse_verification,rsq_calibration,rsq_verification
Artificial Neural Network,1.0339951755463743,1.0423749368714494,0.7746928471384095,0.7864144823630559
Bagged Classification and Regression Trees,0.42558665720671557,1.0320121439705814,0.9653639859136917,0.7906054531389963
Bayesian Additive Regression Trees,0.899938976402196,1.0381014191946578,0.8308060315546002,0.7880576365583601
Cubist Regression,1.05616519606967,1.0114502136887906,0.7650986417554254,0.7998491301563536
Elastic Net Regression,0.9344002061532513,1.0461482216561435,0.818284187359931,0.7847055385288431
Extreme Gradient Boosting,1.0244301625122647,1.0226804486903782,0.7808272286765728,0.7970745574258682
Generalized Linear Model,1.0339987707399694,1.043181567266489,0.7746912239705342,0.7860882205906518
Multivariate Adaptive Regression Splines,1.030924089944284,1.0446782655852944,0.7760291802773064,0.7853184338966452
Random Forest,0.6738011498911106,1.0062324146782413,0.9103391092737959,0.8015005947104081
Support Vector Machine (Linear),1.05032234244839,1.0207002312379752,0.7679603972450764,0.796307487684509
Support Vector Machine (Polynomial),1.0478779566663174,1.0250446002455937,0.7690199928615189,0.7946947382159514
Support Vector Machine (Radial),1.008441953828048,1.0203294744848868,0.786136247817759,0.7966354285234568
ensemble,0.8479794636022562,1.0061943168343972,0.85716654924937985,0.803801744485835
