Variable,Season,Ccode,1981-2010,1961-1990,1991-2020,SSP245_cmcc-esm2_2030,SSP245_cmcc-esm2_2050,SSP245_cmcc-esm2_2070,SSP245_cmcc-esm2_2085,SSP245_ec-earth3_2030,SSP245_ec-earth3_2050,SSP245_ec-earth3_2070,SSP245_ec-earth3_2085,SSP245_gfdl-esm4_2030,SSP245_gfdl-esm4_2050,SSP245_gfdl-esm4_2070,SSP245_gfdl-esm4_2085,SSP245_mpi-esm1-2-hr_2030,SSP245_mpi-esm1-2-hr_2050,SSP245_mpi-esm1-2-hr_2070,SSP245_mpi-esm1-2-hr_2085,SSP245_mri-esm2-0_2030,SSP245_mri-esm2-0_2050,SSP245_mri-esm2-0_2070,SSP245_mri-esm2-0_2085,SSP245_taiesm1_2030,SSP245_taiesm1_2050,SSP245_taiesm1_2070,SSP245_taiesm1_2085
AWP0-40_S2+,ONDJFM,AWP0_40_S2_4,10.826,14.459,10.979,12.344,13.653,18.49,20.741,14.161,13.145,9.035,10.303,13.978,10.242,10.377,14.871,9.626,12.868,21.933,18.085,15.651,15.198,11.072,11.286,14.22,20.089,29.824,29.495
AWP0-40_S2+,NDJF,AWP0_40_S2_5,8.257,10.618,7.652,9.063,9.675,11.84,13.126,9.612,8.225,5.638,6.38,9.638,6.585,6.516,9.983,7.038,9.211,15.643,12.405,11.202,11.057,7.685,7.512,10.278,14.256,20.151,19.383
AWP0-40_S3+,year,AWP0_40_S3_1,5.445,7.852,6.485,7.632,8.976,15.705,17.292,8.853,10.404,6.755,6.841,9.293,7.352,7.524,10.17,6.022,8.55,15.545,12.803,9.732,9.644,7.007,7.249,8.496,13.479,26.22,27.512
AWP0-40_S3+,MAMJJASO,AWP0_40_S3_2,2.222,2.703,3.756,3.876,4.79,10.069,10.874,4.739,6.931,4.599,4.341,5.224,4.838,4.99,5.855,3.352,4.671,7.771,6.82,4.774,4.714,3.884,4.177,4.093,6.484,15.177,16.836
AWP0-40_S3+,AMJJAS,AWP0_40_S3_3,1.395,1.127,2.374,2.679,3.236,6.909,7.033,2.933,4.847,3.316,2.79,3.47,3.412,3.437,3.761,2.513,3.315,4.873,4.213,3.011,3.094,2.666,2.758,2.564,3.841,9.976,11.167
AWP0-40_S3+,ONDJFM,AWP0_40_S3_4,4.05,6.725,4.111,4.952,5.739,8.796,10.259,5.92,5.557,3.439,4.051,5.823,3.94,4.087,6.409,3.509,5.235,10.672,8.59,6.721,6.55,4.342,4.492,5.932,9.638,16.244,16.345
AWP0-40_S3+,NDJF,AWP0_40_S3_5,3.223,5.149,2.729,3.755,4.186,5.636,6.418,4.114,3.474,2.156,2.5,4.069,2.514,2.533,4.315,2.67,3.879,7.774,5.983,4.958,4.929,3.123,3.073,4.403,6.995,11.044,10.676
AWP0-40_S4+,year,AWP0_40_S4_1,1.459,2.797,1.817,2.312,2.924,5.987,6.934,2.832,3.481,2.035,2.171,3.049,2.294,2.412,3.552,1.654,2.671,6.025,4.861,3.257,3.282,2.107,2.248,2.757,5.148,11.616,12.476
AWP0-40_S4+,MAMJJASO,AWP0_40_S4_2,0.484,0.779,1.106,1.049,1.422,3.74,4.271,1.407,2.295,1.413,1.376,1.68,1.577,1.65,2.007,0.889,1.357,2.709,2.388,1.435,1.432,1.089,1.227,1.187,2.213,6.365,7.354
AWP0-40_S4+,AMJJAS,AWP0_40_S4_3,0.301,0.287,0.618,0.711,0.947,2.48,2.618,0.852,1.59,1.039,0.897,1.121,1.152,1.17,1.29,0.696,0.985,1.592,1.368,0.896,0.949,0.776,0.829,0.723,1.225,3.941,4.535
AWP0-40_S4+,ONDJFM,AWP0_40_S4_4,1.159,2.51,1.199,1.601,1.976,3.507,4.315,1.98,1.891,0.996,1.274,1.929,1.142,1.243,2.262,0.959,1.686,4.433,3.493,2.361,2.333,1.33,1.419,2.034,3.923,7.674,7.941
AWP0-40_S4+,NDJF,AWP0_40_S4_5,0.976,2.017,0.712,1.262,1.502,2.247,2.663,1.426,1.186,0.622,0.794,1.37,0.716,0.763,1.545,0.765,1.314,3.316,2.473,1.822,1.85,1.018,1.021,1.571,2.936,5.25,5.121
AWD0-40_sum,year,AWD0_40_sum_1,408.559,467.286,350.339,8.317,-44.788,-597.156,-655.916,10.165,-272.103,185.083,317.283,129.469,346.234,303.291,88.794,323.267,12.846,-511.683,-313.017,13.071,63.684,251.041,283.342,125.971,-235.291,-1195.325,-1296.339
AWD0-40_sum,MAMJJASO,AWD0_40_sum_2,549.878,649.363,462.069,174.949,132.287,-373.892,-395.727,179.653,-146.826,197.387,360.815,295.698,414.453,361.492,260.619,413.102,171.238,-161.863,-51.695,241.977,290.008,367.225,384.562,312.069,58.198,-752.171,-867.871
AWD0-40_sum,AMJJAS,AWD0_40_sum_3,549.018,687.838,436.58,213.833,193.794,-209.646,-204.661,255.799,-53.535,196.661,391.992,350.647,419.061,375.719,342.705,384.392,200.84,5.723,92.838,333.94,362.677,399.517,422.775,361.715,193.385,-477.99,-577.456
AWD0-40_sum,ONDJFM,AWD0_40_sum_4,-140.458,-220.551,-86.241,-205.517,-238.582,-387.51,-451.255,-245.634,-218.568,-11.578,-74.709,-221.178,-72.827,-72.428,-253.91,-61.125,-187.994,-517.407,-405.855,-320.869,-298.993,-148.476,-139.433,-235.744,-428.676,-717.334,-718.883
AWD0-40_sum,NDJF,AWD0_40_sum_5,-141.319,-182.077,-111.73,-166.632,-177.074,-223.264,-260.189,-169.487,-125.277,-12.304,-43.532,-166.228,-68.219,-58.201,-171.824,-89.836,-158.393,-349.82,-261.323,-228.906,-226.324,-116.184,-101.22,-186.098,-293.489,-443.153,-428.469
AWR0-10_u30,year,AWR0_10_u30_1,111.48,108.707,114.263,122.246,125.629,139.782,140.039,124.318,131.672,125.463,124.902,123.858,121.92,122.65,127.515,118.483,124.58,137.296,134.973,122.964,124.23,121.307,121.668,122.292,131.842,147.113,150.251
AWR0-10_u30,MAMJJASO,AWR0_10_u30_2,105.347,102.803,108.198,115.594,118.422,131.834,131.382,117.44,125.672,120.396,119.166,116.333,115.395,116.149,119.294,112.032,116.946,127.096,126.388,115.635,116.312,114.703,115.015,114.833,122.834,136.607,139.782
AWR0-10_u30,AMJJAS,AWR0_10_u30_3,91.047,85.425,94.126,100.11,101.341,111.467,110.687,100.238,107.761,104.653,101.748,98.611,98.135,98.838,100.096,97.159,100.859,106.736,106.095,97.731,98.037,97.743,97.787,98.784,103.88,115.725,117.953
AWR0-10_u30,ONDJFM,AWR0_10_u30_4,20.433,23.282,20.137,22.135,24.288,28.315,29.352,24.08,23.911,20.81,23.154,25.247,23.785,23.812,27.419,21.325,23.722,30.56,28.878,25.233,26.193,23.564,23.881,23.508,27.962,31.388,32.297
AWR0-10_u30,NDJF,AWR0_10_u30_5,6.133,5.903,6.065,6.651,7.207,7.948,8.658,6.878,6.001,5.067,5.736,7.525,6.525,6.501,8.221,6.451,7.635,10.2,8.585,7.329,7.918,6.604,6.653,7.459,9.008,10.506,10.469
AWR0-40_u30,year,AWR0_40_u30_1,9.704,8.87,10.713,15.955,16.229,25.634,27.28,14.603,20.519,14.585,11.264,12.166,10.575,11.739,12.985,11.941,15.974,22.139,19.849,13.762,12.647,11.601,11.153,13.091,17.347,35.905,39.305
AWR0-40_u30,MAMJJASO,AWR0_40_u30_2,9.141,8.28,10.43,15.113,15.354,24.31,25.702,13.837,19.639,14.166,10.808,11.565,10.173,11.287,12.263,11.518,15.218,20.382,18.371,12.849,11.859,11.047,10.647,12.36,16.038,33.174,36.483
AWR0-40_u30,AMJJAS,AWR0_40_u30_3,8.038,7.034,9.546,13.301,13.473,21.093,21.811,12.092,17.304,12.762,9.436,10.245,9.182,10.112,10.595,10.612,13.694,17.195,15.301,11.022,10.385,9.798,9.409,10.709,13.391,27.779,30.544
AWR0-40_u30,ONDJFM,AWR0_40_u30_4,1.667,1.836,1.167,2.654,2.756,4.542,5.469,2.511,3.215,1.823,1.829,1.921,1.393,1.626,2.39,1.329,2.279,4.944,4.548,2.74,2.262,1.803,1.743,2.383,3.956,8.126,8.762
AWR0-40_u30,NDJF,AWR0_40_u30_5,0.563,0.59,0.282,0.842,0.875,1.324,1.579,0.767,0.88,0.42,0.456,0.601,0.402,0.451,0.722,0.424,0.755,1.757,1.478,0.914,0.788,0.554,0.506,0.731,1.308,2.731,2.823
