model,calibration,verification
CART_bagged,0.43,0.96
Cubist,1,0.87
MARS,1,0.92
RF,0.83,0.91
SVM_poly,0.99,0.89
SVM_radial,0.99,0.91
bart,0.86,0.91
boosting,0.81,0.91
full_quad_linear_reg,0.96,0.89
glm,0.98,0.9
neural_network,0.99,0.91
svm_linear,0.99,0.9
ensemble,0.92,0.88
