model,rmse_calibration,rmse_verification,rsq_calibration,rsq_verification
Artificial Neural Network,0.8634138902317517,0.9106629894553312,0.8192538794244678,0.8002653748572128
Bagged Classification and Regression Trees,0.43006769739831757,0.9164647234985848,0.9584724454446762,0.7966580313545194
Bayesian Additive Regression Trees,0.8581521944514711,0.8858786131548998,0.8228548265716225,0.8084562003240476
Cubist Regression,0.7338366998745036,0.948859450708443,0.8694942266399773,0.7814608706715362
Elastic Net Regression,1.032556539376188,1.0266415592892746,0.7514156299496658,0.7513721269308373
Extreme Gradient Boosting,0.8103649722126054,0.8728866012027513,0.8432900660064421,0.8154122601144286
Generalized Linear Model,0.9716735113533014,0.8853671304007754,0.7700561344827048,0.8086016961808435
Multivariate Adaptive Regression Splines,0.9203804751803415,0.9096804648054417,0.7936920827934527,0.8038500765231731
Random Forest,0.8381221496791599,0.8982537002839809,0.8323189433601814,0.802782133515977
Support Vector Machine (Linear),0.9949583740070612,0.8895820561630997,0.7592749395922096,0.8086752436191019
Support Vector Machine (Polynomial),0.9871317498774622,0.8872915810830503,0.7631699729845276,0.8096846703047138
Support Vector Machine (Radial),0.9606678659132977,0.9049415647931903,0.7752508799881149,0.8019032264114294
ensemble,0.7385780651789338,0.9084692049107503,0.8715789252375525,0.7989298279057351
