model,calibration,verification
CART_bagged,0.44,1.02
Cubist,0.88,0.92
MARS,1.03,0.9
RF,0.89,0.91
SVM_poly,1.04,0.9
SVM_radial,1.02,0.91
bart,0.89,0.9
boosting,0.86,0.95
full_quad_linear_reg,1.02,0.9
glm,1.03,0.89
neural_network,1.03,0.89
svm_linear,1.04,0.9
ensemble,0.87,0.9
