model,rmse_calibration,rmse_verification,rsq_calibration,rsq_verification
Artificial Neural Network,0.9664877798862863,1.0337772639161207,0.8035406656099702,0.7897156435162559
Bagged Classification and Regression Trees,0.44605901018999067,1.0488393869927946,0.9606087491254017,0.7837867608723532
Bayesian Additive Regression Trees,0.9254716451383266,1.079540980299659,0.8207514302942697,0.7705127697105982
Cubist Regression,0.9349225433171429,1.056410879730829,0.8175573114874253,0.7803898260175121
Elastic Net Regression,0.9909835192212119,1.0932986644602207,0.7945748008919847,0.7649418404435094
Extreme Gradient Boosting,0.8841355044833142,1.0579879098647897,0.8370945395843646,0.7799106581558122
Generalized Linear Model,1.1014499242456983,1.0374731197236389,0.7443371780861545,0.7883408429010038
Multivariate Adaptive Regression Splines,1.0151149290357577,1.1567162274080907,0.7828456701667795,0.7397174551503242
Random Forest,0.7431068524663631,1.074058409900846,0.889238273804987,0.7737517262178233
Support Vector Machine (Linear),1.1219842190175624,1.0460596449972166,0.7350452797953866,0.7858491258653673
Support Vector Machine (Polynomial),1.118363239482448,1.0424867885196913,0.7366778500918111,0.7868393713290402
Support Vector Machine (Radial),1.1281016934261174,1.0548237279060715,0.7328417517482378,0.7842073693359772
ensemble,0.8865578854608869,1.0380096717635174,0.8373058854735823,0.7880071525097422
