model,calibration,verification
CART_bagged,0.44,0.99
Cubist,1.03,0.88
MARS,1,0.86
RF,0.87,0.9
SVM_poly,1.04,0.88
SVM_radial,1.04,0.89
bart,0.9,0.89
boosting,0.92,0.91
full_quad_linear_reg,1.01,0.88
glm,1.03,0.88
neural_network,1.03,0.89
svm_linear,1.04,0.88
ensemble,0.9,0.89
