model,calibration,verification
CART_bagged,0.44,1.07
Cubist,0.97,0.91
MARS,1.02,0.91
RF,0.91,0.88
SVM_poly,1.02,0.91
SVM_radial,0.99,0.88
bart,0.94,0.88
boosting,0.94,0.92
full_quad_linear_reg,1.01,0.87
glm,1.04,0.9
neural_network,0.99,0.87
svm_linear,1.05,0.9
ensemble,0.96,0.88
