model,calibration,verification
CART_bagged,0.44,0.94
Cubist,1,0.87
MARS,0.98,0.86
RF,0.87,0.9
SVM_poly,1,0.88
SVM_radial,1,0.9
bart,0.88,0.89
boosting,0.89,0.92
full_quad_linear_reg,0.98,0.9
glm,1,0.88
neural_network,1,0.88
svm_linear,1.01,0.87
ensemble,0.98,0.89
