model,calibration,verification
CART_bagged,0.42,1.04
Cubist,0.96,0.92
MARS,1.02,0.91
RF,0.92,0.9
SVM_poly,1.05,0.9
SVM_radial,1.01,0.9
bart,0.92,0.9
boosting,0.9,0.92
full_quad_linear_reg,1.02,0.89
glm,1.04,0.9
neural_network,1.04,0.9
svm_linear,1.05,0.9
ensemble,0.96,0.88
