model,rmse_calibration,rmse_verification,rsq_calibration,rsq_verification
Artificial Neural Network,1.020381630369528,1.0583313354669768,0.78093972713014,0.7799872880340618
Bagged Classification and Regression Trees,0.4447794776908989,1.0609485259782423,0.9610860801287957,0.778749326002709
Bayesian Additive Regression Trees,0.9299453325042065,1.0590448031518567,0.8189545275350281,0.7794410199103063
Cubist Regression,0.9349311206683961,1.0846796132821284,0.8165760107036238,0.768602633065348
Elastic Net Regression,1.0320194929886235,1.1073873915491343,0.7767047918494007,0.7585037194599992
Extreme Gradient Boosting,0.9593637518351832,1.0599569476848325,0.8077144937446225,0.7788992162538868
Generalized Linear Model,1.0982927080724219,1.0492662655101632,0.7458007506313186,0.7833796185435989
Multivariate Adaptive Regression Splines,1.0821994436624836,1.055999767667788,0.7531957261058557,0.7804799419644195
Random Forest,0.76226644785437,1.034854707856498,0.8821887544082531,0.7896945844529631
Support Vector Machine (Linear),1.1194956984454831,1.060096419460194,0.7367226280534106,0.7814902147607128
Support Vector Machine (Polynomial),1.020250215154576,1.1095612156839778,0.7806877082423634,0.7634596749521588
Support Vector Machine (Radial),0.9871059600764964,1.110536193900369,0.794908954125414,0.7605707087241041
ensemble,0.9737946903854565,1.0572792400394753,0.8026829350936464,0.7798958925436812
